Entry	Base_Accession	Protein_Family	Gene_Name
Q16555	Q16555	Metallo-dependent hydrolases superfamily, Hydantoinase/dihydropyrimidinase family	DPYSL2
Q16558	Q16558	KCNMB (TC 8.A.14.1) family, KCNMB1 subfamily	KCNMB1
Q16560	Q16560	Not available	SNRNP35
Q16563	Q16563	Synaptophysin/synaptobrevin family	SYPL1
Q16566	Q16566	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	CAMK4
Q16568	Q16568	CART family	CARTPT
Q16570	Q16570	G protein-coupled receptor 1 family, Atypical chemokine receptor subfamily	ACKR1
Q16572	Q16572	Major facilitator superfamily, Vesicular transporter family	SLC18A3
Q16576	Q16576	WD repeat RBAP46/RBAP48/MSI1 family	RBBP7
Q16581	Q16581	G protein-coupled receptor 1 family	C3AR1
Q16584	Q16584	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	MAP3K11
Q16585	Q16585	Sarcoglycan beta/delta/gamma/zeta family	SGCB
Q16586	Q16586	Sarcoglycan alpha/epsilon family	SGCA
Q16587	Q16587	Krueppel C2H2-type zinc-finger protein family	ZNF74
Q16594	Q16594	TAF9 family	TAF9
Q16595	Q16595	Frataxin family	FXN
Q16600	Q16600	Krueppel C2H2-type zinc-finger protein family	ZNF239
Q16602	Q16602	G protein-coupled receptor 2 family	CALCRL
Q16610	Q16610	Not available	ECM1
Q16611	Q16611	Bcl-2 family	BAK1
Q16612	Q16612	Not available	NREP
Q16613	Q16613	Acetyltransferase family, AANAT subfamily	AANAT
Q16617	Q16617	PMP-22/EMP/MP20 family	NKG7
Q16619	Q16619	IL-6 superfamily	CTF1
Q16620	Q16620	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	NTRK2
Q16621	Q16621	BZIP family, CNC subfamily	NFE2
Q16623	Q16623	Syntaxin family	STX1A
Q16625	Q16625	ELL/occludin family	OCLN
Q16627	Q16627	Intercrine beta (chemokine CC) family	CCL14
Q16629	Q16629	Splicing factor SR family	SRSF7
Q16630	Q16630	RRM CPSF6/7 family	CPSF6
Q16633	Q16633	POU2AF family	POU2AF1
Q16635	Q16635	Taffazin family	TAFAZZIN
Q16637	Q16637	SMN family	SMN1
Q16643	Q16643	Not available	DBN1
Q16644	Q16644	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	MAPKAPK3
Q16647	Q16647	Cytochrome P450 family	PTGIS
Q16649	Q16649	BZIP family, NFIL3 subfamily	NFIL3
Q16650	Q16650	Not available	TBR1
Q16651	Q16651	Peptidase S1 family	PRSS8
Q16653	Q16653	Immunoglobulin superfamily, BTN/MOG family	MOG
Q16654	Q16654	PDK/BCKDK protein kinase family	PDK4
Q16655	Q16655	Not available	MLANA
Q16656	Q16656	NRF1/Ewg family	NRF1
Q16656-4	Q16656	NRF1/Ewg family	NRF1
Q16658	Q16658	Fascin family	FSCN1
Q16659	Q16659	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	MAPK6
Q16661	Q16661	Guanylin family	GUCA2B
Q16663	Q16663	Intercrine beta (chemokine CC) family	CCL15
Q16665	Q16665	Not available	HIF1A
Q16666	Q16666	HIN-200 family	IFI16
Q16667	Q16667	Protein-tyrosine phosphatase family	CDKN3
Q16670	Q16670	Not available	ZSCAN26
Q16671	Q16671	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	AMHR2
Q16674	Q16674	MIA/OTOR family	MIA
Q16676	Q16676	Not available	FOXD1
Q16678	Q16678	Cytochrome P450 family	CYP1B1
Q16690	Q16690	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	DUSP5
Q16695	Q16695	Histone H3 family	H3-4
Q16696	Q16696	Cytochrome P450 family	CYP2A13
Q16698	Q16698	Short-chain dehydrogenases/reductases (SDR) family, 2,4-dienoyl-CoA reductase subfamily	DECR1
Q16706	Q16706	Glycosyl hydrolase 38 family	MAN2A1
Q16718	Q16718	Complex I NDUFA5 subunit family	NDUFA5
Q16719	Q16719	Kynureninase family	KYNU
Q16720	Q16720	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIB subfamily	ATP2B3
Q16739	Q16739	Glycosyltransferase 2 family	UGCG
Q16740	Q16740	Peptidase S14 family	CLPP
Q16760	Q16760	Eukaryotic diacylglycerol kinase family	DGKD
Q16762	Q16762	Not available	TST
Q16763	Q16763	Ubiquitin-conjugating enzyme family	UBE2S
Q16769	Q16769	Glutaminyl-peptide cyclotransferase family	QPCT
Q16772	Q16772	GST superfamily, Alpha family	GSTA3
Q16773	Q16773	Class-I pyridoxal-phosphate-dependent aminotransferase family	KYAT1
Q16774	Q16774	Guanylate kinase family	GUK1
Q16775	Q16775	Metallo-beta-lactamase superfamily, Glyoxalase II family	HAGH
Q16777	Q16777	Histone H2A family	H2AC20
Q16778	Q16778	Histone H2B family	H2BC21
Q16787	Q16787	Not available	LAMA3
Q16790	Q16790	Alpha-carbonic anhydrase family	CA9
Q16795	Q16795	Complex I NDUFA9 subunit family	NDUFA9
Q16798	Q16798	Malic enzymes family	ME3
Q16799	Q16799	Not available	RTN1
Q16816	Q16816	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	PHKG1
Q16819	Q16819	Not available	MEP1A
Q16820	Q16820	Not available	MEP1B
Q16821	Q16821	Not available	PPP1R3A
Q16822	Q16822	Phosphoenolpyruvate carboxykinase [GTP] family	PCK2
Q16825	Q16825	Protein-tyrosine phosphatase family, Non-receptor class subfamily	PTPN21
Q16827	Q16827	Protein-tyrosine phosphatase family, Receptor class 3 subfamily	PTPRO
Q16828	Q16828	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	DUSP6
Q16829	Q16829	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	DUSP7
Q16831	Q16831	PNP/UDP phosphorylase family	UPP1
Q16832	Q16832	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	DDR2
Q16836	Q16836	3-hydroxyacyl-CoA dehydrogenase family	HADH
Q16842	Q16842	Glycosyltransferase 29 family	ST3GAL2
Q16849	Q16849	Protein-tyrosine phosphatase family, Receptor class 8 subfamily	PTPRN
Q16850	Q16850	Cytochrome P450 family	CYP51A1
Q16851	Q16851	UDPGP type 1 family	UGP2
Q16853	Q16853	Copper/topaquinone oxidase family	AOC3
Q16854	Q16854	DCK/DGK family	DGUOK
Q16864	Q16864	V-ATPase F subunit family	ATP6V1F
Q16873	Q16873	MAPEG family	LTC4S
Q16875	Q16875	Phosphoglycerate mutase family	PFKFB3
Q16877	Q16877	Phosphoglycerate mutase family	PFKFB4
Q16878	Q16878	Cysteine dioxygenase family	CDO1
Q16880	Q16880	UDP-glycosyltransferase family	UGT8
Q16881	Q16881	Class-I pyridine nucleotide-disulfide oxidoreductase family	TXNRD1
Q16890	Q16890	TPD52 family	TPD52L1
Q16891	Q16891	MICOS complex subunit Mic60 family	IMMT
Q17R31	Q17R31	Metallo-dependent hydrolases superfamily, TatD-type hydrolase family	TATDN3
Q17R60	Q17R60	Not available	IMPG1
Q17R89	Q17R89	Not available	ARHGAP44
Q17R98	Q17R98	Krueppel C2H2-type zinc-finger protein family	ZNF827
Q17RB8	Q17RB8	Not available	LONRF1
Q17RD7	Q17RD7	Synaptotagmin family	SYT16
Q17RS7	Q17RS7	XPG/RAD2 endonuclease family, GEN subfamily	GEN1
Q17RV3	Q17RV3	Protein kinase superfamily, TKL Ser/Thr protein kinase family	LRRK2
Q17RW2	Q17RW2	Fibrillar collagen family	COL24A1
Q17RY0	Q17RY0	RRM CPEB family	CPEB4
Q18PE1	Q18PE1	Not available	DOK7
Q19AV6	Q19AV6	SWS1 family	ZSWIM7
Q19T08	Q19T08	ECSCR family	ECSCR
Q1EHB4	Q1EHB4	Sodium:solute symporter (SSF) (TC 2.A.21) family	SLC5A12
Q1HG43	Q1HG43	DUOXA family	DUOXA1
Q1HG44	Q1HG44	DUOXA family	DUOXA2
Q1L5Z9	Q1L5Z9	Not available	LONRF2
Q1MSJ5	Q1MSJ5	Not available	CSPP1
Q1MX18	Q1MX18	Not available	INSC
Q1RMZ1	Q1RMZ1	BMT2/SAMTOR family	SAMTOR
Q1W6H9	Q1W6H9	FAM110 family	FAM110C
Q24JP5	Q24JP5	TMEM132 family	TMEM132A
Q24JQ0	Q24JQ0	Nucleotide-sugar transporter family, SLC35D subfamily	SLC35D4
Q27J81	Q27J81	Formin homology family	INF2
Q29980	Q29980	MHC class I family, MIC subfamily	MICB
Q29983	Q29983	MHC class I family, MIC subfamily	MICA
Q29RF7	Q29RF7	PDS5 family	PDS5A
Q2HXU8	Q2HXU8	Not available	CLEC12B
Q2I0M4	Q2I0M4	Not available	LRRC26
Q2I0M5	Q2I0M5	R-spondin family	RSPO4
Q2KHM9	Q2KHM9	Not available	KIAA0753
Q2KHN1	Q2KHN1	Not available	RNF151
Q2KHR2	Q2KHR2	RFX family	RFX7
Q2KHT3	Q2KHT3	CLEC16A/gop-1 family	CLEC16A
Q2KHT4	Q2KHT4	GSG1 family	GSG1
Q2LD37	Q2LD37	Bridge-like lipid transfer protein family member 1 family	BLTP1
Q2M1K9	Q2M1K9	Krueppel C2H2-type zinc-finger protein family	ZNF423
Q2M1P5	Q2M1P5	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, KIF27 subfamily	KIF7
Q2M1V0	Q2M1V0	Not available	ISX
Q2M1Z3	Q2M1Z3	Not available	ARHGAP31
Q2M2E3	Q2M2E3	Not available	ODF4
Q2M2I5	Q2M2I5	Intermediate filament family	KRT24
Q2M2I8	Q2M2I8	Protein kinase superfamily, Ser/Thr protein kinase family	AAK1
Q2M2Z5	Q2M2Z5	Kizuna family	KIZ
Q2M385	Q2M385	MPEG1 family	MPEG1
Q2M389	Q2M389	SWIP family	WASHC4
Q2M3C6	Q2M3C6	Not available	TMEM266
Q2M3C7	Q2M3C7	AKAP110 family	SPHKAP
Q2M3G0	Q2M3G0	ABC transporter superfamily, ABCB family, Multidrug resistance exporter (TC 3.A.1.201) subfamily	ABCB5
Q2M3M2	Q2M3M2	Sodium:solute symporter (SSF) (TC 2.A.21) family	SLC5A9
Q2M3R5	Q2M3R5	SLC35G solute transporter family	SLC35G1
Q2M3T9	Q2M3T9	Glycosyl hydrolase 56 family	HYAL4
Q2M3X9	Q2M3X9	Krueppel C2H2-type zinc-finger protein family	ZNF674
Q2MKA7	Q2MKA7	R-spondin family	RSPO1
Q2MV58	Q2MV58	Tectonic family	TCTN1
Q2NKJ3	Q2NKJ3	CTC1 family	CTC1
Q2NKQ1	Q2NKQ1	RUTBC family	SGSM1
Q2NKQ1-4	Q2NKQ1	RUTBC family	SGSM1
Q2NKX8	Q2NKX8	SNF2/RAD54 helicase family	ERCC6L
Q2NL67	Q2NL67	ARTD/PARP family	PARP6
Q2PPJ7	Q2PPJ7	Not available	RALGAPA2
Q2Q1W2	Q2Q1W2	TRIM/RBCC family	TRIM71
Q2QGD7	Q2QGD7	ZXD family	ZXDC
Q2T9J0	Q2T9J0	Peptidase S1B family	TYSND1
Q2TAA5	Q2TAA5	Glycosyltransferase group 1 family, Glycosyltransferase 4 subfamily	ALG11
Q2TAC2	Q2TAC2	Not available	CCDC57
Q2TAC2-2	Q2TAC2	Not available	CCDC57
Q2TAC6	Q2TAC6	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family	KIF19
Q2TAK8	Q2TAK8	PWWP3A family	PWWP3A
Q2TAL6	Q2TAL6	Not available	VWC2
Q2TAL8	Q2TAL8	Not available	QRICH1
Q2TAY7	Q2TAY7	WD repeat SMU1 family	SMU1
Q2TAZ0	Q2TAZ0	ATG2 family	ATG2A
Q2TB10	Q2TB10	Krueppel C2H2-type zinc-finger protein family	ZNF800
Q2TB18	Q2TB18	Asteroid family	ASTE1
Q2TB90	Q2TB90	Hexokinase family	HKDC1
Q2TBA0	Q2TBA0	KLHL40 family	KLHL40
Q2TBE0	Q2TBE0	CWF19 family	CWF19L2
Q2TNI1	Q2TNI1	Caveolin family	CAV1
Q2TU65	Q2TU65	Protein kinase superfamily, TKL Ser/Thr protein kinase family	Not available
Q2UY09	Q2UY09	VWA-containing collagen family	COL28A1
Q2V2M9	Q2V2M9	Formin homology family	FHOD3
Q2VIQ3	Q2VIQ3	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, Chromokinesin subfamily	KIF4B
Q2VPA4	Q2VPA4	Receptors of complement activation (RCA) family	CR1L
Q2VPB7	Q2VPB7	Not available	AP5B1
Q2VPK5	Q2VPK5	CTU2/NCS2 family	CTU2
Q2VWA4	Q2VWA4	SKI family	SKOR2
Q2WEN9	Q2WEN9	Immunoglobulin superfamily, CEA family	CEACAM16
Q2WGJ6	Q2WGJ6	Not available	KLHL38
Q2WGJ9	Q2WGJ9	Ferlin family	FER1L6
Q2Y0W8	Q2Y0W8	Anion exchanger (TC 2.A.31) family	SLC4A8
Q2Y0W8-4	Q2Y0W8	Anion exchanger (TC 2.A.31) family	SLC4A8
Q2YD98	Q2YD98	UVSSA family	UVSSA
Q30154	Q30154	MHC class II family	HLA-DRB5
Q30201	Q30201	MHC class I family	HFE
Q308M7	Q308M7	Not available	Not available
Q30KQ6	Q30KQ6	Beta-defensin family	DEFB114
Q32M45	Q32M45	Anoctamin family	ANO4
Q32M88	Q32M88	Glycosyl hydrolase 65 family	PGGHG
Q32MK0	Q32MK0	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	MYLK3
Q32MQ0	Q32MQ0	Not available	ZNF750
Q32MZ4	Q32MZ4	LRRFIP family	LRRFIP1
Q32NB8	Q32NB8	CDP-alcohol phosphatidyltransferase class-II family	PGS1
Q32NC0	Q32NC0	RMP24 family	RMP24
Q32P28	Q32P28	Leprecan family	P3H1
Q32P41	Q32P41	Class I-like SAM-binding methyltransferase superfamily, TRM5/TYW2 family	TRMT5
Q32P44	Q32P44	WD repeat EMAP family	EML3
Q330K2	Q330K2	NDUFAF6 family	NDUFAF6
Q33E94	Q33E94	RFX family	RFX4
Q38SD2	Q38SD2	Protein kinase superfamily, TKL Ser/Thr protein kinase family, ROCO subfamily	LRRK1
Q3B726	Q3B726	Eukaryotic RPA43 RNA polymerase subunit family	POLR1F
Q3B7T1	Q3B7T1	Not available	EDRF1
Q3B820	Q3B820	FAM161 family	FAM161A
Q3I5F7	Q3I5F7	C/M/P thioester hydrolase family	ACOT6
Q3KNS1	Q3KNS1	Patched family	PTCHD3
Q3KNS6	Q3KNS6	Krueppel C2H2-type zinc-finger protein family	ZNF829
Q3KNS6-3	Q3KNS6	Krueppel C2H2-type zinc-finger protein family	ZNF829
Q3KNT9	Q3KNT9	TMEM95 family	TMEM95
Q3KNV8	Q3KNV8	Not available	PCGF3
Q3KNW5	Q3KNW5	Bile acid:sodium symporter (BASS) (TC 2.A.28) family	SLC10A6
Q3KP22	Q3KP22	MAJIN family	MAJIN
Q3KP44	Q3KP44	Not available	ANKRD55
Q3KP66	Q3KP66	Not available	INAVA
Q3KQV3	Q3KQV3	Krueppel C2H2-type zinc-finger protein family	ZNF792
Q3KR05	Q3KR05	Glycosyl hydrolase 33 family	NEU4
Q3KR16	Q3KR16	Not available	PLEKHG6
Q3KR37	Q3KR37	Not available	GRAMD1B
Q3KRA9	Q3KRA9	AlkB family	ALKBH6
Q3KRB8	Q3KRB8	Not available	ARHGAP11B
Q3L8U1	Q3L8U1	SNF2/RAD54 helicase family	CHD9
Q3LHN2	Q3LHN2	KRTAP type 19 family	KRTAP19-2
Q3LI59	Q3LI59	Not available	KRTAP21-2
Q3LI64	Q3LI64	KRTAP type 6 family	KRTAP6-1
Q3LI66	Q3LI66	KRTAP type 6 family	KRTAP6-2
Q3LI67	Q3LI67	KRTAP type 6 family	KRTAP6-3
Q3LI70	Q3LI70	KRTAP type 19 family	KRTAP19-6
Q3LI72	Q3LI72	KRTAP type 19 family	KRTAP19-5
Q3LI76	Q3LI76	PMG family	KRTAP15-1
Q3LIE5	Q3LIE5	ADPRibase-Mn family	ADPRM
Q3LXA3	Q3LXA3	Dihydroxyacetone kinase (DAK) family	TKFC
Q3MHD2	Q3MHD2	LSM12 family	LSM12
Q3MII6	Q3MII6	Not available	TBC1D25
Q3MIR4	Q3MIR4	CDC50/LEM3 family	TMEM30B
Q3MIT2	Q3MIT2	Pseudouridine synthase Pus10 family	PUS10
Q3MJ16	Q3MJ16	Not available	PLA2G4E
Q3MJ62	Q3MJ62	Krueppel C2H2-type zinc-finger protein family	ZSCAN23
Q3MUY2	Q3MUY2	Not available	PIGY
Q3SX64	Q3SX64	CIMAP family	CIMAP1D
Q3SXM5	Q3SXM5	Short-chain dehydrogenases/reductases (SDR) family, 17-beta-HSD 3 subfamily	HSDL1
Q3SXP7	Q3SXP7	Shisa family	SHISAL1
Q3SXY7	Q3SXY7	Not available	LRIT3
Q3SXY8	Q3SXY8	Small GTPase superfamily, Arf family	ARL13B
Q3SY00	Q3SY00	Not available	TSGA10IP
Q3SY46	Q3SY46	PMG family	KRTAP13-3
Q3SY56	Q3SY56	Sp1 C2H2-type zinc-finger protein family	SP6
Q3SY69	Q3SY69	GART family; Aldehyde dehydrogenase family, ALDH1L subfamily	ALDH1L2
Q3SY77	Q3SY77	UDP-glycosyltransferase family	UGT3A2
Q3SY84	Q3SY84	Intermediate filament family	KRT71
Q3SYB3	Q3SYB3	Not available	FOXD4L6
Q3SYC2	Q3SYC2	Diacylglycerol acyltransferase family	MOGAT2
Q3SYF9	Q3SYF9	KRTAP type 19 family	KRTAP19-7
Q3SYG4	Q3SYG4	Not available	BBS9
Q3T8J9	Q3T8J9	Not available	GON4L
Q3T906	Q3T906	Stealth family	GNPTAB
Q3V5L5	Q3V5L5	Glycosyltransferase 18 family	MGAT5B
Q3V6T2	Q3V6T2	CCDC88 family	CCDC88A
Q3YBM2	Q3YBM2	TMEM176 family	TMEM176B
Q3YBR2	Q3YBR2	TBRG1 family	TBRG1
Q3YEC7	Q3YEC7	Small GTPase superfamily, Rab family	RABL6
Q3ZAQ7	Q3ZAQ7	VMA21 family	VMA21
Q3ZCM7	Q3ZCM7	Tubulin family	TUBB8
Q3ZCQ8	Q3ZCQ8	TIM50 family	TIMM50
Q401N2	Q401N2	Ligand-gated ion channel (TC 1.A.9) family	ZACN
Q460N3	Q460N3	ARTD/PARP family	PARP15
Q460N5	Q460N5	ARTD/PARP family	PARP14
Q494R4	Q494R4	DRC12 family	DRC12
Q494U1	Q494U1	Not available	PLEKHN1
Q494U1-3	Q494U1	Not available	PLEKHN1
Q494V2	Q494V2	CFAP100 family	CFAP100
Q494V2-2	Q494V2	CFAP100 family	CFAP100
Q495A1	Q495A1	Not available	TIGIT
Q495C1	Q495C1	Not available	RNF212
Q495M3	Q495M3	Amino acid/polyamine transporter 2 family	SLC36A2
Q495M9	Q495M9	Not available	USH1G
Q495T6	Q495T6	Peptidase M13 family	MMEL1
Q495W5	Q495W5	Glycosyltransferase 10 family	POFUT4
Q495Y0	Q495Y0	Cytochrome P450 family	CYP3A43
Q496A3	Q496A3	Not available	SPATS1
Q496F6	Q496F6	CD300 family	CD300E
Q496J9	Q496J9	Major facilitator superfamily	SV2C
Q496M5	Q496M5	Protein kinase superfamily, Ser/Thr protein kinase family, CDC5/Polo subfamily	PLK5
Q499G7	Q499G7	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily; Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily	MAPK1
Q49A17	Q49A17	Glycosyltransferase 2 family, GalNAc-T subfamily	GALNTL6
Q49A26	Q49A26	HIBADH-related family, NP60 subfamily	GLYR1
Q49A26-4	Q49A26	HIBADH-related family, NP60 subfamily	GLYR1
Q49A88	Q49A88	Not available	CCDC14
Q49AJ0	Q49AJ0	FAM135 family	FAM135B
Q49AM1	Q49AM1	MTERF family	MTERF2
Q49AN0	Q49AN0	DNA photolyase class-1 family	CRY2
Q49AR9	Q49AR9	Not available	ANKS1A
Q49B96	Q49B96	COX19 family	COX19
Q49MG5	Q49MG5	Not available	MAP9
Q49MI3	Q49MI3	Not available	CERKL
Q4AC94	Q4AC94	Not available	C2CD3
Q4ADV7	Q4ADV7	RIC1 family	RIC1
Q4AE62	Q4AE62	Glycosyltransferase group 1 family, Glycosyltransferase 4 subfamily	QTMAN
Q4FZB7	Q4FZB7	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, Suvar4-20 subfamily	KMT5B
Q4G0J3	Q4G0J3	LARP7 family	LARP7
Q4G0M1	Q4G0M1	Adipolin/erythroferrone family	ERFE
Q4G0N4	Q4G0N4	NAD kinase family	NADK2
Q4G0N8	Q4G0N8	Monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family	SLC9C1
Q4G0P3	Q4G0P3	Not available	HYDIN
Q4G0R1	Q4G0R1	Not available	PIBF1
Q4G0S4	Q4G0S4	Cytochrome P450 family	CYP27C1
Q4G0U5	Q4G0U5	PCDP1 family	CFAP221
Q4G0W2	Q4G0W2	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	DUSP28
Q4G0X4	Q4G0X4	Not available	KCTD21
Q4G0X9	Q4G0X9	CCDC40 family	CCDC40
Q4G163	Q4G163	Not available	FBXO43
Q4G176	Q4G176	ATP-dependent AMP-binding enzyme family	ACSF3
Q4J6C6	Q4J6C6	Peptidase S9A family	PREPL
Q4JDL3	Q4JDL3	Protein-tyrosine phosphatase family, Non-receptor class subfamily	PTPN20
Q4KMG0	Q4KMG0	Not available	CDON
Q4KMG9	Q4KMG9	Not available	TMEM52B
Q4KMP7	Q4KMP7	Not available	TBC1D10B
Q4KMQ1	Q4KMQ1	Taperin family	TPRN
Q4KMQ2	Q4KMQ2	Anoctamin family	ANO6
Q4KWH8	Q4KWH8	Not available	PLCH1
Q4L180	Q4L180	FILIP1 family	FILIP1L
Q4LDE5	Q4LDE5	Not available	SVEP1
Q4LDG9	Q4LDG9	Dynein light chain LC1-type family	DNAL1
Q4LDR2	Q4LDR2	Cortexin family	CTXN3
Q4LE39	Q4LE39	Not available	ARID4B
Q4U2R8	Q4U2R8	Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family	SLC22A6
Q4V328	Q4V328	Not available	GRIPAP1
Q4V9L6	Q4V9L6	Not available	TMEM119
Q4VAL9	Q4VAL9	Major facilitator superfamily, Proton-dependent oligopeptide transporter (POT/PTR) (TC 2.A.17) family	SLC15A1
Q4VC05	Q4VC05	BCL7 family	BCL7A
Q4VC12	Q4VC12	Not available	MSS51
Q4VC44	Q4VC44	Not available	FLYWCH1
Q4VCS5	Q4VCS5	Angiomotin family	AMOT
Q4VNC1	Q4VNC1	Cation transport ATPase (P-type) (TC 3.A.3) family, Type V subfamily	ATP13A4
Q4VXU2	Q4VXU2	Polyadenylate-binding protein type-1 family	PABPC1L
Q4W5N8	Q4W5N8	Class-I pyridoxal-phosphate-dependent aminotransferase family	AADAT
Q4ZG55	Q4ZG55	GREB1 family	GREB1
Q4ZHG4	Q4ZHG4	Not available	FNDC1
Q4ZJI4	Q4ZJI4	Monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family	SLC9B1
Q502W6	Q502W6	Not available	VWA3B
Q504Q3	Q504Q3	Peptidase C19 family, PAN2 subfamily	PAN2
Q504T8	Q504T8	Not available	MIDN
Q504U8	Q504U8	Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily	EGFR
Q504Y0	Q504Y0	ZIP transporter (TC 2.A.5) family	SLC39A12
Q504Y2	Q504Y2	Protein kinase superfamily	PKDCC
Q52LG2	Q52LG2	PMG family	KRTAP13-2
Q52LJ0	Q52LJ0	FAM98 family	FAM98B
Q52LW3	Q52LW3	Not available	ARHGAP29
Q53EL6	Q53EL6	PDCD4 family	PDCD4
Q53EL9	Q53EL9	SEZ6 family	SEZ6
Q53EM9	Q53EM9	Amino acid-polyamine-organocation (APC) superfamily, L-type amino acid transporter (LAT) (TC 2.A.3.8) family	Not available
Q53EP0	Q53EP0	FNDC3 family	FNDC3B
Q53EP0-3	Q53EP0	FNDC3 family	FNDC3B
Q53ET0	Q53ET0	TORC family	CRTC2
Q53EU6	Q53EU6	1-acyl-sn-glycerol-3-phosphate acyltransferase family	GPAT3
Q53EV4	Q53EV4	Not available	LRRC23
Q53EZ4	Q53EZ4	Not available	CEP55
Q53F19	Q53F19	NCBP3 family	NCBP3
Q53F39	Q53F39	Metallophosphoesterase superfamily, MPPE1 family	MPPE1
Q53FA7	Q53FA7	Zinc-containing alcohol dehydrogenase family, Quinone oxidoreductase subfamily	TP53I3
Q53FD0	Q53FD0	ZC2HC1 family	ZC2HC1C
Q53FD0-2	Q53FD0	ZC2HC1 family	ZC2HC1C
Q53FP2	Q53FP2	DoxX family	TMEM35A
Q53FT3	Q53FT3	OPI10 family	HIKESHI
Q53FV1	Q53FV1	ORM family	ORMDL2
Q53FZ2	Q53FZ2	ATP-dependent AMP-binding enzyme family	ACSM3
Q53G23	Q53G23	Cytochrome P450 family	Not available
Q53G26	Q53G26	Not available	DNAJA3
Q53G59	Q53G59	Not available	KLHL12
Q53GC3	Q53GC3	Cytochrome P450 family	Not available
Q53GD3	Q53GD3	CTL (choline transporter-like) family	SLC44A4
Q53GG5	Q53GG5	Not available	PDLIM3
Q53GI3	Q53GI3	Krueppel C2H2-type zinc-finger protein family	ZNF394
Q53GL0	Q53GL0	Not available	PLEKHO1
Q53GL6	Q53GL6	RRM HNRPC family, RALY subfamily	RALY
Q53GL7	Q53GL7	ARTD/PARP family	PARP10
Q53GQ0	Q53GQ0	Short-chain dehydrogenases/reductases (SDR) family, 17-beta-HSD 3 subfamily	HSD17B12
Q53GS7	Q53GS7	GLE1 family	GLE1
Q53GS9	Q53GS9	Peptidase C19 family	USP39
Q53GT1	Q53GT1	Not available	KLHL22
Q53H01	Q53H01	Acid ceramidase family	Not available
Q53H12	Q53H12	AGK family	AGK
Q53H47	Q53H47	Class V-like SAM-binding methyltransferase superfamily; Mariner transposase family	SETMAR
Q53H54	Q53H54	Class I-like SAM-binding methyltransferase superfamily, TRM5/TYW2 family	TYW2
Q53H76	Q53H76	AB hydrolase superfamily, Lipase family	PLA1A
Q53H80	Q53H80	Akirin family	AKIRIN2
Q53H82	Q53H82	Metallo-beta-lactamase superfamily, Glyoxalase II family	LACTB2
Q53H96	Q53H96	Pyrroline-5-carboxylate reductase family	PYCR3
Q53HC0	Q53HC0	Not available	CCDC92
Q53HC5	Q53HC5	Not available	KLHL26
Q53HC9	Q53HC9	WD repeat EIPR1 family	EIPR1
Q53HI1	Q53HI1	Unc-50 family	UNC50
Q53HL2	Q53HL2	Borealin family	CDCA8
Q53HV7	Q53HV7	Uracil-DNA glycosylase (UDG) superfamily, SMUG1 family	SMUG1
Q53HV7-2	Q53HV7	Uracil-DNA glycosylase (UDG) superfamily, SMUG1 family	SMUG1
Q53QV2	Q53QV2	LBH family	LBH
Q53QZ3	Q53QZ3	Not available	ARHGAP15
Q53R12	Q53R12	L6 tetraspanin family	TM4SF20
Q53R41	Q53R41	FAST kinase family	FASTKD1
Q53RT3	Q53RT3	Not available	ASPRV1
Q53S33	Q53S33	BolA/IbaG family	BOLA3
Q53T94	Q53T94	RRN7/TAF1B family	TAF1B
Q53TN4	Q53TN4	Not available	CYBRD1
Q53TQ3	Q53TQ3	INO80D family	INO80D
Q53TS8	Q53TS8	Not available	CATSPERT
Q53X93	Q53X93	Not available	CREB1
Q53XC5	Q53XC5	TGF-beta family	BMP4
Q53XR6	Q53XR6	Dwarfin/SMAD family	SMAD2
Q53YD1	Q53YD1	BZIP family	DDIT3
Q53YK7	Q53YK7	Prion family	PRNP
Q53Z63	Q53Z63	5'-nucleotidase family	NT5E
