DB Class Key,Common Organism Name,NCBI Taxon ID,Symbol,EntrezGene ID,Mouse MGI ID,HGNC ID,OMIM Gene ID,Genetic Location,"Genomic Coordinates (mouse: , human: )",Nucleotide RefSeq IDs,Protein RefSeq IDs,SWISS_PROT IDs
41935353,human,9606,VSX2,338917,,HGNC:1975,OMIM:142993,Chr14 q24.3,Chr14:74239472-74262738(+),NM_182894,NP_878314,P58304
41935354,"mouse, laboratory",10090,Crabp1,12903,MGI:88490,,,Chr9 29.76 cM,Chr9:54672032-54680394(+),"NM_001284507,NM_013496","NP_001271436,NP_038524",P62965
41935354,human,9606,CRABP1,1381,,HGNC:2338,OMIM:180230,Chr15 q25.1,Chr15:78340324-78348230(+),NM_004378,NP_004369,P29762
41935355,"mouse, laboratory",10090,Glul,14645,MGI:95739,,,Chr1 65.43 cM,Chr1:153775690-153785469(+),NM_008131,NP_032157,P15105
41935355,human,9606,GLUL,2752,,HGNC:4341,OMIM:138290,Chr1 q25.3,Chr1:182378093-182392206(-),"NM_001033044,NM_002065,NM_001033056","NP_002056,NP_001028228,NP_001028216",P15104
41935356,"mouse, laboratory",10090,Dixdc1,330938,MGI:2679721,,,Chr9 27.75 cM,Chr9:50574052-50650817(-),"NM_001374656,XM_284495,XM_036155081,NM_001311069,XM_006510451,XM_017313440,XM_017313441,XM_006510455,XM_006510456,XM_030244427,XM_006510457,XM_036155082,XM_036155083,XM_017313439,XM_036155084","XP_017168929,NP_001297998,NP_835219,NP_001361585,XP_006510519,XP_006510520,XP_017168928,XP_017168930,XP_030100287,XP_036010974,XP_006510514,XP_036010977,XP_036010975,XP_006510518,XP_036010976",Q80Y83
41935356,human,9606,DIXDC1,85458,,HGNC:23695,OMIM:610493,Chr11 q23.1,Chr11:111927144-112022650(+),"NM_001278542,NM_033425,NM_001037954","XP_016873955,XP_016873956,XP_024304510,XP_024304511,XP_047283743,NP_001265471,NP_001033043,NP_219493",Q155Q3
41935357,"mouse, laboratory",10090,Mx2,17858,MGI:97244,,,Chr16 57.51 cM,Chr16:97337281-97362101(+),NM_013606,NP_038634,Q9WVP9
41935357,human,9606,MX1,4599,,HGNC:7532,OMIM:147150,Chr21 q22.3,Chr21:41420329-41459214(+),"NM_001144925,NM_001178046,NM_001282920,NM_002462,NM_001144925,NM_001178046,NM_001282920,NM_002462","XP_047296725,XP_005261037,XP_005261035,XP_047296729,XP_047296730,XP_047296731,XP_047296732,XP_047296733,XP_047296734,NP_002453,NP_001269849,NP_001171517,XP_016883841,XP_047296721,NP_001138397,XP_016883840,XP_016883838,XP_047296722,XP_047296723,XP_047296724,XP_011527872,XP_011527870,XP_005261039,XP_005261038,XP_047296726,XP_047296727,XP_047296728,XP_047296725,XP_005261037,XP_005261035,XP_047296729,XP_047296730,XP_047296731,XP_047296732,XP_047296733,XP_047296734,NP_002453,NP_001269849,NP_001171517,XP_016883841,XP_047296721,NP_001138397,XP_016883840,XP_016883838,XP_047296722,XP_047296723,XP_047296724,XP_011527872,XP_011527870,XP_005261039,XP_005261038,XP_047296726,XP_047296727,XP_047296728","P20591,P20591"
41935357,human,9606,MX2,4600,,HGNC:7533,OMIM:147890,Chr21 q22.3,Chr21:41361986-41408943(+),"NM_002463,NM_002463","XP_024307848,XP_047296739,XP_011527875,XP_011527874,XP_005261041,XP_005261040,XP_047296735,XP_047296738,XP_047296737,XP_047296736,NP_002454,XP_024307848,XP_047296739,XP_011527875,XP_011527874,XP_005261041,XP_005261040,XP_047296735,XP_047296738,XP_047296737,XP_047296736,NP_002454","P20592,P20592"
41935358,"mouse, laboratory",10090,Ifnb1,15977,MGI:107657,,,Chr4 41.91 cM,Chr4:88440262-88441011(-),NM_010510,NP_034640,P01575
41935358,human,9606,IFNB1,3456,,HGNC:5434,OMIM:147640,Chr9 p21.3,Chr9:21077105-21077963(-),NM_002176,NP_002167,P01574
41935359,"mouse, laboratory",10090,Msgn1,56184,MGI:1860483,,,Chr12 5.58 cM,Chr12:11258383-11258949(-),NM_019544,NP_062417,Q9JK54
41935359,human,9606,MSGN1,343930,,HGNC:14907,OMIM:612209,Chr2 p24.2,Chr2:17816519-17817100(+),NM_001105569,NP_001099039,A6NI15
41935360,"mouse, laboratory",10090,Mapk1,26413,MGI:1346858,,,Chr16 10.53 cM,Chr16:16801246-16865317(+),"NM_011949,NM_001038663,NM_001357115","NP_001344044,NP_001033752,NP_036079",P63085
41935360,human,9606,MAPK1,5594,,HGNC:6871,OMIM:176948,Chr22 q11.22,Chr22:21759657-21867680(-),"NM_138957,NM_002745","NP_002736,NP_620407",P28482
41935361,"mouse, laboratory",10090,Keap1,50868,MGI:1858732,,,Chr9 7.74 cM,Chr9:21141026-21150628(-),"NM_001110305,NM_016679,NM_001110306,NM_001110307","NP_001103777,NP_057888,NP_001103775,NP_001103776",Q9Z2X8
41935361,human,9606,KEAP1,9817,,HGNC:23177,OMIM:606016,Chr19 p13.2,Chr19:10486120-10503378(-),"NM_012289,NM_203500","NP_036421,XP_005260231,XP_005260230,NP_987096,XP_047295744,XP_011526754",Q14145
41935362,"mouse, laboratory",10090,Dcp1a,75901,MGI:1923151,,,Chr14 18.75 cM,Chr14:30201492-30249020(+),"XM_006519655,NM_133761,XM_006519656,XM_036158891","XP_006519718,XP_006519719,NP_598522,XP_036014784",Q91YD3
41935362,human,9606,DCP1A,55802,,HGNC:18714,OMIM:607010,Chr3 p21.1,Chr3:53283423-53347627(-),"NM_001290206,NM_018403,NM_001290207,NM_001290204,NM_001290205","NP_001277133,NP_001277135,NP_001277134,NP_060873,NP_001277136",Q9NPI6
41935363,"mouse, laboratory",10090,Nfe2l2,18024,MGI:108420,,,Chr2 44.75 cM,Chr2:75505857-75534985(-),"NM_010902,NM_001399226","NP_001386155,NP_035032",Q60795
41935363,human,9606,NFE2L2,4780,,HGNC:7782,OMIM:600492,Chr2 q31.2,Chr2:177230303-177265131(-),"NM_001313901,NM_001145412,NM_001145413,NM_001313900,NM_001313904,NM_001313903,NM_001313902,NM_006164","NP_001138884,NP_001300832,NP_001138885,NP_001300829,NP_001300830,NP_006155,NP_001300833,NP_001300831",Q16236
41935364,"mouse, laboratory",10090,Sgce,20392,MGI:1329042,,,Chr6 1.81 cM,Chr6:4674350-4747204(-),"XM_030255281,XM_030255278,XM_036165978,XM_006505023,XM_006505022,XM_006505020,XM_006505024,XM_036165975,XM_006505019,XM_036165979,XM_030255277,XM_036165974,XM_030255280,NM_001410332,NM_001410333,NM_001410334,NM_001410335,NM_001410336,NM_001410337,NM_001410338,NM_001410339,NM_001130191,NM_001130190,NM_001130188,NM_001130189,NM_011360,XM_036165977,XM_036165976","XP_036021869,XP_006505087,XP_036021867,XP_036021868,XP_006505083,XP_006505086,XP_030111138,XP_006505085,NP_001397266,NP_035490,NP_001123662,NP_001397267,NP_001123661,XP_036021870,XP_036021871,NP_001397264,XP_006505082,XP_030111141,XP_030111140,XP_036021872,NP_001397263,NP_001397261,NP_001123660,XP_030111137,NP_001397268,NP_001123663,NP_001397262,NP_001397265",O70258
41935364,human,9606,SGCE,8910,,HGNC:10808,OMIM:604149,Chr7 q21.3,Chr7:94585224-94656209(-),"NM_003919,NM_001362809,NM_001362808,NM_001362807,NM_001346720,NM_001346719,NM_001346715,NM_001346713,NM_001346717,NM_001099400,NM_001099401,NM_001301139","NP_001333646,NP_001333644,NP_001333642,NP_001288068,NP_001092871,NP_001092870,NP_001333648,NP_001333649,NP_001349736,NP_001349737,NP_001349738,NP_003910",O43556
41935365,"mouse, laboratory",10090,Scfd1,76983,MGI:1924233,,,Chr12 22.11 cM,Chr12:51424296-51496887(+),"NM_001306178,XM_126906","NP_001293107,NP_084101",Q8BRF7
41935365,human,9606,SCFD1,23256,,HGNC:20726,OMIM:618207,Chr14 q12,Chr14:30622254-30735828(+),"NM_001257376,NM_001283031,NM_001283032,NM_001283033,NM_016106,NM_182835","NP_001269962,NP_001269961,NP_001269960,NP_001244305,NP_057190,NP_878255,XP_005267526,XP_016876602,XP_047287121,XP_047287122",Q8WVM8
41935366,"mouse, laboratory",10090,Sestd1,228071,MGI:1916262,,,Chr2 45.92 cM,Chr2:77010684-77110936(-),"XM_006499200,XM_006499201,NM_175465,XM_030250181,XM_036161141,XM_017317597,XM_030250180,XM_011239447","XP_017173086,XP_011237749,XP_006499264,XP_006499263,XP_030106041,XP_036017034,XP_030106040,NP_780674",Q80UK0
41935366,human,9606,SESTD1,91404,,HGNC:18379,,Chr2 q31.2,Chr2:179101692-179264723(-),NM_178123,"XP_047302229,XP_047302231,XP_047302230,XP_011510443,NP_835224",Q86VW0
41935367,"mouse, laboratory",10090,Piwil1,57749,MGI:1928897,,,Chr5 67.86 cM,Chr5:128813135-128832538(+),"XM_006504318,NM_021311","XP_006504381,NP_067286",Q9JMB7
41935367,human,9606,PIWIL1,9271,,HGNC:9007,OMIM:605571,Chr12 q24.33,Chr12:130337887-130412708(+),"NM_001190971,NM_004764","NP_004755,XP_011537304,XP_011537306,XP_011537305,XP_011537308,NP_001177900,XP_047285848,XP_024305045",Q96J94
41935368,"mouse, laboratory",10090,H1f8,171506,MGI:2176207,,,Chr6 53.72 cM,Chr6:115921899-115927197(+),"NM_138311,NM_001346702","NP_001333631,NP_612184",Q8VIK3
41935368,human,9606,H1-8,132243,,HGNC:18463,,Chr3 q22.1,Chr3:129543214-129555185(+),"NM_001308262,NM_153833","NP_722575,NP_001295191,XP_016861222",Q8IZA3
41935369,"mouse, laboratory",10090,Bdkrb1,12061,MGI:88144,,,Chr12 55.81 cM,Chr12:105570350-105571770(+),NM_007539,NP_031565,Q61125
41935369,human,9606,BDKRB1,623,,HGNC:1029,OMIM:600337,Chr14 q32.2,Chr14:96256210-96264763(+),"NM_000710,NM_001386007","NP_000701,NP_001372936",P46663
41935370,"mouse, laboratory",10090,Trp73,22062,MGI:1336991,,,Chr4 83.79 cM,Chr4:154140706-154224332(-),"NM_001126330,NM_011642,XM_006538722,XM_006538720,XM_006538723,NM_001126331","NP_001119803,NP_001119802,XP_006538783,XP_006538785,XP_006538786,NP_035772",Q9JJP2
41935370,human,9606,TP73,7161,,HGNC:12003,OMIM:601990,Chr1 p36.32,Chr1:3652565-3736201(+),"NM_001204184,NM_001126240,NM_001126241,NM_001126242,NM_001204185,NM_001204186,NM_001204187,NM_001204188,NM_001204189,NM_001204190,NM_001204191,NM_001204192,NM_005427","NP_001119712,XP_047285480,NP_001191116,XP_047285477,NP_005418,NP_001191117,NP_001191121,NP_001191118,NP_001191119,NP_001191120,NP_001191115,NP_001191114,NP_001191113,NP_001119714,NP_001119713",O15350
41935371,"mouse, laboratory",10090,Tmem35a,67564,MGI:1914814,,,ChrX 56.06 cM,ChrX:133195974-133206718(+),NM_026239,NP_080515,Q9D328
41935371,human,9606,TMEM35A,59353,,HGNC:25864,,ChrX q22.1,ChrX:101078847-101096367(+),NM_021637,NP_067650,Q53FP2
41935372,"mouse, laboratory",10090,Drd2,13489,MGI:94924,,,Chr9 26.72 cM,Chr9:49251927-49319477(+),"XM_006509996,NM_001410193,NM_010077","XP_006510059,NP_001397122,NP_034207",P61168
41935372,human,9606,DRD2,1813,,HGNC:3023,OMIM:126450,Chr11 q23.2,Chr11:113409595-113475279(-),"NM_016574,NM_000795","NP_057658,NP_000786,XP_016872785,XP_047282467",P14416
41935373,"mouse, laboratory",10090,Drd3,13490,MGI:94925,,,Chr16 28.44 cM,Chr16:43574389-43643295(+),"XM_006521777,NM_007877","XP_006521840,NP_031903",P30728
41935373,human,9606,DRD3,1814,,HGNC:3024,OMIM:126451,Chr3 q13.31,Chr3:114127623-114199407(-),"NM_033658,NM_000796,NM_001290809,NM_033663,NM_033660,NM_033659,NM_001282563","NP_001269492,NP_000787,NP_001277738,NP_387512",P35462
41935374,"mouse, laboratory",10090,Tnr,21960,MGI:99516,,,Chr1 69.03 cM,Chr1:159351339-159759299(+),"NM_022312,XM_036163561,XM_030252977,XM_036163560,XM_036163563,XM_030252975,XM_030252974,XM_036163559,XM_006496744,XM_006496745,XM_006496742,XM_006496743,XM_006496746","XP_036019452,XP_006496806,NP_071707,XP_006496809,XP_030108837,XP_036019453,XP_030108835,XP_036019456,XP_006496807,XP_006496805,XP_030108834,XP_006496808,XP_036019454",Q8BYI9
41935374,human,9606,TNR,7143,,HGNC:11953,OMIM:601995,Chr1 q25.1,Chr1:175320781-175743702(-),"NM_001328635,NM_003285","NP_003276,NP_001315564",Q92752
41935375,"mouse, laboratory",10090,Cd99l2,171486,MGI:2177151,,,ChrX 36.82 cM,ChrX:70463666-70536455(-),"XM_006527887,XM_011247542,XM_011247541,XM_011247540,NM_138309,XM_017318407,NM_001199349,XM_006527886","XP_006527949,XP_011245844,XP_011245842,XP_006527950,XP_017173896,XP_011245843,NP_612182,NP_001186278",Q8BIF0
41935375,human,9606,CD99L2,83692,,HGNC:18237,OMIM:300846,ChrX q28,ChrX:150766336-150898816(-),"NM_134446,NM_001184808,NM_031462,NM_134445,NM_001242614","XP_047298518,NP_001171737,NP_001229543,NP_604395,XP_047298516,NP_604394,XP_047298517,NP_113650",Q8TCZ2
41935376,"mouse, laboratory",10090,Zar1,317755,MGI:2180337,,,Chr5 38.44 cM,Chr5:72734456-72738707(-),"NM_174877,XM_006503990","XP_006504053,NP_777366",Q80SU3
41935376,human,9606,ZAR1,326340,,HGNC:20436,OMIM:607520,Chr4 p11,Chr4:48490252-48497528(+),NM_175619,NP_783318,Q86SH2
41935377,"mouse, laboratory",10090,Stat5b,20851,MGI:103035,,,Chr11 63.63 cM,Chr11:100671557-100741407(-),"NM_011489,NM_001362682,NM_001113563","NP_035619,NP_001107035,NP_001349611",P42232
41935377,human,9606,STAT5B,6777,,HGNC:11367,OMIM:604260,Chr17 q21.2,Chr17:42199177-42276460(-),NM_012448,"XP_005257683,XP_024306666,XP_016880466,XP_047292549,NP_036580,XP_024306665",P51692
41935378,"mouse, laboratory",10090,Stat5a,20850,MGI:103036,,,Chr11 63.77 cM,Chr11:100750177-100775995(+),"XM_006532721,NM_001362680,XM_017314402,NM_011488,NM_001164062","XP_017169891,NP_001157534,NP_001349609,NP_035618,XP_006532784",P42230
41935378,human,9606,STAT5A,6776,,HGNC:11366,OMIM:601511,Chr17 q21.2,Chr17:42287547-42311943(+),"NM_003152,NM_001288718,NM_001288720,NM_001288719,NM_001411103","NP_003143,XP_047292547,NP_001398032,XP_047292545,XP_047292546,NP_001275649,XP_005257681,XP_047292544,NP_001275648,NP_001275647",P42229
41935379,"mouse, laboratory",10090,Kif1b,16561,MGI:108426,,,Chr4 79.05 cM,Chr4:149260776-149392150(-),"XM_006538591,NM_001290995,NM_207682,NM_008441,XM_006538592,XM_006538593,XM_006538594,XM_006538595,XM_030253269,XM_006538596,XM_030253272,XM_036163747,XM_030253268,XM_030253273,XM_036163746,XM_036163745,XM_011250200,XM_036163744,XM_036163743,XM_030253271,XM_030253270,XM_006538590","XP_030109129,XP_030109128,XP_006538658,XP_030109130,XP_006538659,XP_006538656,XP_006538657,XP_006538654,XP_006538655,NP_032467,XP_030109133,XP_006538653,NP_997565,XP_030109132,XP_036019639,XP_036019640,XP_036019637,XP_030109131,XP_011248502,XP_036019638,XP_036019636,NP_001277924",Q60575
41935379,human,9606,KIF1B,23095,,HGNC:16636,OMIM:605995,Chr1 p36.22,Chr1:10210706-10381603(+),"NM_015074,NM_001365951,NM_001365953,NM_183416,NM_001365952","NP_904325,NP_001352881,NP_001352880,NP_001352882,NP_055889",O60333
41935380,"mouse, laboratory",10090,Hnf4a,15378,MGI:109128,,,Chr2 84.32 cM,Chr2:163348731-163414827(+),"NM_001312907,XM_006498787,NM_008261,XM_006498788,NM_001312906","XP_006498851,NP_001299835,NP_032287,XP_006498850,NP_001299836",P49698
41935380,human,9606,HNF4A,3172,,HGNC:5024,OMIM:600281,Chr20 q13.12,Chr20:44355801-44432845(+),"NM_001287184,NM_178850,NM_001287183,NM_000457,NM_001030003,NM_175914,NM_178849,NM_001030004,NM_001258355,NM_001287182","NP_787110,NP_001274113,NP_001274112,NP_001274111,NP_001245284,NP_001025175,XP_047296092,XP_047296093,XP_047296094,XP_047296091,NP_001025174,NP_000448,NP_849180,NP_849181",P41235
41935381,"mouse, laboratory",10090,Xpo6,74204,MGI:2429950,,,Chr7 69.01 cM,Chr7:125700887-125799673(-),"XM_006508250,XM_017312341,XM_017312342,XM_036153494,NM_001311143,NM_028816,XM_036153493,XM_017312345","XP_006508313,NP_083092,NP_001298072,XP_017167831,XP_036009386,XP_017167830,XP_036009387,XP_017167834",Q924Z6
41935381,human,9606,XPO6,23214,,HGNC:19733,OMIM:608411,Chr16 p12.1,Chr16:28097976-28211918(-),"NM_001270940,NM_015171","XP_005255255,NP_001257869,XP_024305980,XP_047289795,XP_047289796,XP_047289797,XP_011544074,NP_055986",Q96QU8
41935382,"mouse, laboratory",10090,Tshz1,110796,MGI:1346031,,,Chr18 57.53 cM,Chr18:84029752-84105831(-),"NM_001364993,XM_129060,NM_001364994,XM_030250274,XM_030250273,XM_030250275,NM_001081300","NP_001351923,XP_030106135,NP_001074769,XP_030106133,NP_001351922,XP_030106134",Q5DTH5
41935382,human,9606,TSHZ1,10194,,HGNC:10669,OMIM:614427,Chr18 q22.3,Chr18:75210755-75289950(+),"NM_005786,NM_001308210","NP_001295139,NP_005777",Q6ZSZ6
41935383,"mouse, laboratory",10090,Tgfb2,21808,MGI:98726,,,Chr1 89.95 cM,Chr1:186354989-186438186(-),"XM_030252968,NM_001329107,NM_009367,XM_006497136","NP_001316036,XP_030108828,XP_006497199,NP_033393",P27090
41935383,human,9606,TGFB2,7042,,HGNC:11768,OMIM:190220,Chr1 q41,Chr1:218345334-218444619(+),"NM_003238,NM_001135599","NP_001129071,NP_003229",P61812
41935384,"mouse, laboratory",10090,Tgfb3,21809,MGI:98727,,,Chr12 40.09 cM,Chr12:86103519-86125815(-),NM_009368,NP_033394,P17125
41935384,human,9606,TGFB3,7043,,HGNC:11769,OMIM:190230,Chr14 q24.3,Chr14:75958097-75982022(-),"NM_001329938,NM_001329939,NM_003239","NP_003230,NP_001316867,NP_001316868",P10600
41935385,"mouse, laboratory",10090,Aldoc,11676,MGI:101863,,,Chr11 46.74 cM,Chr11:78213899-78218607(+),"XM_126120,NM_001303423","NP_033787,NP_001290352",P05063
41935385,human,9606,ALDOC,230,,HGNC:418,OMIM:103870,Chr17 q11.2,Chr17:28573115-28576963(-),NM_005165,"XP_011522858,NP_005156,XP_005258006",P09972
41935386,"mouse, laboratory",10090,Esrrg,26381,MGI:1347056,,,Chr1 91.83 cM,Chr1:187340988-187947082(+),"XM_011238919,NM_011935,NM_001243792,XM_011238916,XM_011238915,XM_036165242,XM_011238918,XM_011238917,XM_036165239,XM_036165237,XM_011238920,XM_036165250,XM_036165240,NM_001357536,XM_006497165,XM_030254424,NM_001357535,XM_030254422,XM_036165247,XM_006497170,NM_001357534","XP_011237222,NP_036065,NP_001344465,NP_001344463,NP_001230721,NP_001344464,XP_011237217,XP_036021135,XP_011237218,XP_011237219,XP_011237220,XP_011237221,XP_006497228,XP_030110284,XP_030110282,XP_006497233,XP_036021130,XP_036021140,XP_036021143,XP_036021133,XP_036021132",P62509
41935386,human,9606,ESRRG,2104,,HGNC:3474,OMIM:602969,Chr1 q41,Chr1:216503246-217137757(-),"NM_001243509,NM_206595,NM_206594,NM_001438,NM_001350125,NM_001350124,NM_001350123,NM_001350122,NM_001243519,NM_001243518,NM_001243515,NM_001243514,NM_001243513,NM_001243512,NM_001243511,NM_001243510,NM_001243507,NM_001243506,NM_001243505,NM_001134285","XP_016856126,NP_001127757,NP_001230434,NP_001230435,NP_001230436,NP_001230438,NP_001230439,NP_001230440,NP_001230441,NP_001230442,NP_001230443,NP_001230444,NP_001230447,NP_001230448,NP_001337051,NP_001337052,NP_001337053,NP_001337054,NP_001429,NP_996317,NP_996318,XP_011507567,XP_011507568,XP_011507569,XP_011507570,XP_011507571,XP_011507573,XP_016856110,XP_016856111,XP_016856112,XP_016856113,XP_016856114,XP_016856120,XP_016856121,XP_016856123,XP_016856125,XP_047305263,XP_047305300,XP_047305307,XP_047305318,XP_047305324,XP_047305327,XP_047305341,XP_047305345,XP_047305346,XP_047305347,XP_047305348,XP_047305349,XP_047305350,XP_047305351,XP_047305352,XP_047305353,XP_047305354,XP_047305357,XP_047305358,XP_047305359",P62508
41935387,"mouse, laboratory",10090,Rbm38,56190,MGI:1889294,,,Chr2 95.67 cM,Chr2:172863680-172876527(+),"NM_019547,XM_006499924,XM_030251891,XM_030251892","XP_030107751,XP_006499987,XP_030107752,NP_062420",Q62176
41935387,human,9606,RBM38,55544,,HGNC:15818,OMIM:612428,Chr20 q13.31,Chr20:57391398-57409333(+),"NM_001291780,NM_017495,NM_183425","NP_059965,NP_906270,XP_005260503,XP_011527187,XP_047296214,NP_001278709",Q9H0Z9
41935388,"mouse, laboratory",10090,Hes6,55927,MGI:1859852,,,Chr1 46.12 cM,Chr1:91339205-91341760(-),"NM_001360900,NM_019479,NM_001360899,XM_036152469","NP_001347829,NP_062352,NP_001347828,XP_036008362",Q9JHE6
41935388,human,9606,HES6,55502,,HGNC:18254,OMIM:610331,Chr2 q37.3,Chr2:238238267-238240124(-),"NM_001282434,NM_018645,NM_001142853","NP_001136325,NP_001269363,NP_061115",Q96HZ4
41935389,"mouse, laboratory",10090,Mknk2,17347,MGI:894279,,,Chr10 39.72 cM,Chr10:80501152-80512264(-),"XM_036155663,XM_036155662,XM_006513316,XM_017313824,NM_021462","XP_036011555,XP_036011556,XP_017169313,XP_006513379,NP_067437",Q8CDB0
41935389,human,9606,MKNK2,2872,,HGNC:7111,OMIM:605069,Chr19 p13.3,Chr19:2037471-2051244(-),"NM_017572,NM_199054","NP_951009,NP_060042",Q9HBH9
41935390,"mouse, laboratory",10090,Btbd2,208198,MGI:1933831,,,Chr10 39.72 cM,Chr10:80478457-80492328(-),"XM_354550,NM_145361,NM_001379084","NP_001366013,NP_663336",
41935390,human,9606,BTBD2,55643,,HGNC:15504,OMIM:608531,Chr19 p13.3,Chr19:1985438-2015703(-),NM_017797,"XP_047295022,XP_047295021,XP_047295023,XP_047295024,NP_060267",Q9BX70
41935391,"mouse, laboratory",10090,Cdh17,12557,MGI:1095414,,,Chr4 5.35 cM,Chr4:11758157-11817905(+),"NM_019753,XM_006537584,XM_006537583","XP_006537646,NP_062727,XP_006537647",Q9R100
41935391,human,9606,CDH17,1015,,HGNC:1756,OMIM:603017,Chr8 q22.1,Chr8:94127162-94217303(-),"NM_004063,NM_001144663","XP_011515092,NP_001138135,NP_004054",Q12864
41935392,"mouse, laboratory",10090,Gjd2,14617,MGI:1334209,,,Chr2 57.54 cM,Chr2:113840082-113844100(-),"XM_030247546,NM_010290,XM_017315645","XP_017171134,NP_034420,XP_030103406",O54851
41935392,human,9606,GJD2,57369,,HGNC:19154,OMIM:607058,Chr15 q14,Chr15:34751746-34754955(-),NM_020660,"NP_065711,XP_016877927",Q9UKL4
41935393,"mouse, laboratory",10090,Daam1,208846,MGI:1914596,,,Chr12 30.06 cM,Chr12:71877852-72039107(+),"XM_006515643,XM_036157296,XM_036157297,NM_026102,XM_006515642,NM_172464,XM_006515644,NM_001286452,XM_030246636","XP_006515706,XP_006515705,NP_001273381,XP_030102496,NP_766052,XP_036013190,NP_080378,XP_036013189,XP_006515707",Q8BPM0
41935393,human,9606,DAAM1,23002,,HGNC:18142,OMIM:606626,Chr14 q23.1,Chr14:59188611-59371405(+),"NM_014992,NM_001270520","XP_005267487,NP_001257449,XP_047287091,NP_055807,XP_005267488",Q9Y4D1
41935394,"mouse, laboratory",10090,Prps1l3,328099,MGI:3779453,,,Chr12 24.7 cM,Chr12:57277198-57286668(+),NM_001037746,NP_001032835,
41935395,"mouse, laboratory",10090,Prps1,19139,MGI:97775,,,ChrX 61.35 cM,ChrX:139357362-139376889(+),NM_021463,NP_067438,Q9D7G0
41935395,human,9606,PRPS1,5631,,HGNC:9462,OMIM:311850,ChrX q22.3,ChrX:107628424-107651026(+),"NM_001204402,NM_002764","NP_002755,NP_001191331",P60891
41935396,"mouse, laboratory",10090,Disp1,68897,MGI:1916147,,,Chr1 syntenic,Chr1:182867830-183003086(-),"XM_006535596,XM_036153391,NM_026866,XM_036153395,NM_001278220,XM_036153394,NM_001278218,NM_001278219","NP_001265148,XP_036009287,NP_081142,NP_001265147,XP_036009284,XP_006535659,XP_036009288,NP_001265149",Q3TDN0
41935396,human,9606,DISP1,84976,,HGNC:19711,OMIM:607502,Chr1 q41,Chr1:222814514-223005995(+),"NM_001377229,NM_001377228,NM_032890,NM_001350630,NM_001369594","XP_011508377,NP_001364158,XP_011508374,XP_011508376,NP_001337559,XP_016858100,NP_001364157,XP_016858101,XP_011508375,XP_006711655,XP_006711657,XP_047288719,XP_047288730,NP_116279,NP_001356523",Q96F81
41935397,"mouse, laboratory",10090,Calcoco1,67488,MGI:1914738,,,Chr15 57.81 cM,Chr15:102615212-102630613(-),"NM_026192,XM_036159550","XP_036015443,NP_080468",Q8CGU1
41935397,human,9606,CALCOCO1,57658,,HGNC:29306,,Chr12 q13.13,Chr12:53711118-53727523(-),"NM_001143682,NM_020898","NP_001137154,NP_065949,XP_011536903,XP_011536904,XP_011536905,XP_011536906",Q9P1Z2
41935398,"mouse, laboratory",10090,Atf2,11909,MGI:109349,,,Chr2 43.86 cM,Chr2:73646853-73722983(-),"XM_030246850,XM_036157694,NM_001284372,NM_001284370,NM_001284369,NM_009715,XM_030246841,NM_001025093,NM_001284376,XM_030246872,XM_030246873,XM_030246855,NM_001284373,XM_030246843,XM_030246844,XM_030246853,XM_030246840,XM_030246867,XM_036157711,XM_036157712,XM_036157713,XM_036157700,XM_030246858,XM_030246846,XM_030246847,XM_036157691,XM_036157709,NM_001284374,NM_001284371,XM_036157708,XM_036157707","XP_036013584,NP_001271302,NP_001271301,NP_001271303,NP_001271300,NP_001271298,NP_033845,NP_001271299,NP_001271305,NP_001020264,XP_036013593,XP_036013587,XP_030102700,XP_030102701,XP_030102718,XP_030102704,XP_030102703,XP_030102710,XP_030102707,XP_030102706,XP_030102715,XP_030102733,XP_030102732,XP_030102727,XP_030102713,XP_036013605,XP_036013604,XP_036013606,XP_036013601,XP_036013600,XP_036013602",P16951
41935398,human,9606,ATF2,1386,,HGNC:784,OMIM:123811,Chr2 q31.1,Chr2:175072250-175168206(-),"NM_001256092,NM_001256090,NM_001256091,NM_001880,NM_001256093,NM_001256094","NP_001243023,NP_001243019,NP_001243020,NP_001243021,NP_001243022,NP_001871",P15336
41935399,"mouse, laboratory",10090,Grem2,23893,MGI:1344367,,,Chr1 81.08 cM,Chr1:174661351-174749385(-),"XM_006496826,NM_011825,XM_036164648,XM_036164647","XP_036020541,XP_036020540,NP_035955,XP_006496889",O88273
41935399,human,9606,GREM2,64388,,HGNC:17655,OMIM:608832,Chr1 q43,Chr1:240489573-240612372(-),NM_022469,"XP_047283788,NP_071914,XP_011542551,XP_047283795",Q9H772
41935400,"mouse, laboratory",10090,Sbf2,319934,MGI:1921831,,,Chr7 57.7 cM,Chr7:109907220-110214129(-),"XM_006507925,XM_006507927,XM_006507926,XM_006507924,XM_030242672,XM_030242673,XM_011241830,NM_001404389,NM_001404388,NM_001404387,NM_177324","NP_796298,NP_001391317,XP_011240132,NP_001391318,XP_006507987,XP_030098532,XP_006507988,NP_001391316,XP_006507990,XP_030098533,XP_006507989",E9PXF8
41935400,human,9606,SBF2,81846,,HGNC:2135,OMIM:607697,Chr11 p15.4,Chr11:9778667-10294216(-),"NM_001386342,NM_001386339,NM_030962","XP_011518697,XP_011518698,XP_016873866,XP_047283613,XP_047283614,NP_112224,NP_001373271,NP_001373268",Q86WG5
