Gene ID,Entrez ID,chromosome,start,end,width,strand,transcript_id,bioType,Aliases,p_id,Description
DISC1-IT1,104472714,chr1,232061580,232080951,734,+,NR_126441,lncRNA,.,.,DISC1 intronic transcript 1
DISC1FP1,101929222,chr11,89984400,90648220,774,+,NR_104190,lncRNA,.,.,DISC1 fusion partner 1 (non-protein coding)
DISC2,27184,chr1,231950372,231954263,3892,-,NR_002227,lncRNA,DISC1OS|NCRNA00015,.,disrupted in schizophrenia 2 (non-protein coding)
DISP1,84976,chr1,222988431,223179337,4924,+,NM_032890,protein_coding,DISPA|DKFZp434I0428|FLJ43740|MGC104180|MGC13130|MGC16796,P6420,dispatched RND transporter family member 1
DISP2,85455,chr15,40650434,40663256,5032,+,NM_033510,protein_coding,DISPB|DKFZp547N223|HsT16908|KIAA1742,P2362,dispatched RND transporter family member 2
DIXDC1,85458,chr11,111797868,111893374,6786,+,NM_001278542,protein_coding,CCD1|KIAA1735,P8674,DIX domain containing 1
DKC1,1736,chrX,153991017,154005964,2576,+,NM_001363,protein_coding,CBF5|DKC|FLJ97620|NAP57|NOLA4|XAP101,P15102,dyskerin pseudouridine synthase 1
DKFZP434A062,26102,chr9,139216998,139221779,4782,-,NR_026964,lncRNA,.,.,uncharacterized LOC26102
DKFZP434H168,26077,chr16,56226529,56228437,1909,-,NR_026889,lncRNA,.,.,uncharacterized LOC26077
DKFZP434I0714,54553,chr4,153457416,153460415,3000,+,NR_033797,lncRNA,.,.,uncharacterized protein DKFZP434I0714
DKFZP434K028,26070,chr11,61521501,61525136,936,-,NR_026882,lncRNA,MGC34024,.,uncharacterized LOC26070
DKFZP434L187,26082,chr15,30488239,30506743,4260,+,NR_026771,lncRNA,.,.,uncharacterized LOC26082
DKFZP586I1420,222161,chr7,30409666,30412410,2745,+,NR_002186,misc_RNA,.,.,uncharacterized protein DKFZp586I1420
DKFZp434J0226,.,chr19,46713499,46718094,1634,+,NR_027003,.,.,.,.
DKFZp434L192,222029,chr7,56563916,56564977,1062,+,NR_026929,lncRNA,.,.,uncharacterized protein DKFZp434L192
DKFZp451B082,401282,chr6,163759374,163768065,4931,-,NR_033862,lncRNA,.,.,uncharacterized LOC401282
DKFZp686K1684,440034,chr11,31838114,31908587,1656,+,NR_033971,lncRNA,.,.,uncharacterized LOC440034
DKFZp779M0652,374387,chr11,45792983,45793909,649,+,NR_027134,lncRNA,.,.,uncharacterized DKFZp779M0652
DKK1,22943,chr10,54074041,54077417,1805,+,NM_012242,protein_coding,DKK-1|SK,P32812,dickkopf WNT signaling pathway inhibitor 1
DKK2,27123,chr4,107842959,107957453,3637,-,NM_014421,protein_coding,DKK-2,P3630,dickkopf WNT signaling pathway inhibitor 2
DKK3,27122,chr11,11984543,12030917,2959,-,NM_001018057,protein_coding,REIC|RIG,P16429,dickkopf WNT signaling pathway inhibitor 3
DKK4,27121,chr8,42231586,42234674,818,-,NM_014420,protein_coding,DKK-4|MGC129562|MGC129563,P28229,dickkopf WNT signaling pathway inhibitor 4
DKKL1,27120,chr19,49866987,49878373,1216,+,NM_001197302,protein_coding,CT34|SGY|SGY-1|SGY1,P24808,dickkopf like acrosomal protein 1
DLAT,1737,chr11,111895538,111935002,4346,+,NM_001931,protein_coding,DLTA|PDC-E2|PDCE2,P20475,dihydrolipoamide S-acetyltransferase
DLC1,10395,chr8,12940872,13372429,8631,-,NM_006094,protein_coding,ARHGAP7|FLJ21120|HP|STARD12|p122-RhoGAP,P33542,DLC1 Rho GTPase activating protein
DLD,1738,chr7,107531552,107561643,3613,+,NM_001289752,protein_coding,DLDH|E3|GCSL|LAD|PHE3,P35604,dihydrolipoamide dehydrogenase
DLEC1,9940,chr3,38080696,38164228,5614,+,NM_007335,protein_coding,DLC1|F56,P17860,deleted in lung and esophageal cancer 1
DLEU1,10301,chr13,50656305,51102779,3963,+,NR_002605,lncRNA,BCMS|DLB1|DLEU2|LEU1|LEU2|MGC22430|NCRNA00021|XTP6,.,deleted in lymphocytic leukemia 1 (non-protein coding)
DLEU1-AS1,103689915,chr13,51095069,51101585,731,-,NR_125753,lncRNA,.,.,DLEU1 antisense RNA 1
DLEU2,8847,chr13,50556688,50699677,2768,-,NR_002612,lncRNA,1B4|BCMSUN|DLB2|LEU2|MGC88287|NCRNA00022|RFP2OS|TRIM13OS,.,deleted in lymphocytic leukemia 2 (non-protein coding)
DLEU2L,79469,chr1,64014651,64016307,1657,+,NR_002771,misc_RNA,BCMSUNL,.,deleted in lymphocytic leukemia 2-like
DLEU7,220107,chr13,51285162,51418075,3583,-,NM_198989,protein_coding,FLJ44882|MGC138214,P27261,"deleted in lymphocytic leukemia, 7"
DLEU7-AS1,100874074,chr13,51381991,51424041,1807,+,NR_046551,lncRNA,.,.,DLEU7 antisense RNA 1
DLG1,1739,chr3,196769431,197026143,5886,-,NM_001204387,protein_coding,DKFZp761P0818|DKFZp781B0426|DLGH1|SAP-97|SAP97|dJ1061C18.1.1|hdlg,P31449,"discs large homolog 1, scribble cell polarity complex component"
DLG1-AS1,100507086,chr3,197025118,197030621,1702,+,NR_038289,lncRNA,.,.,DLG1 antisense RNA 1
DLG2,1740,chr11,83166056,85338314,9349,-,NM_001300983,protein_coding,DKFZp781D1854|DKFZp781E0954|FLJ37266|MGC131811|PSD-93|PSD93|chapsyn-110,P13501,discs large homolog 2
DLG3,1741,chrX,69664705,69725339,6782,+,NM_021120,protein_coding,KIAA1232|MRX|MRX90|NEDLG|SAP102|XLMR,P11144,discs large homolog 3
DLG3-AS1,100873930,chrX,69672806,69675844,484,-,NR_109801,lncRNA,.,.,DLG3 antisense RNA 1
DLG4,1742,chr17,7093210,7123369,4805,-,NM_001128827,protein_coding,FLJ97752|FLJ98574|PSD95|SAP-90|SAP90,P11910,discs large homolog 4
DLG5,9231,chr10,79550549,79686348,7479,-,NM_004747,protein_coding,KIAA0583|LP-DLG|P-DLG5|PDLG,P9977,discs large homolog 5
DLG5-AS1,100128292,chr10,79686570,79689583,3014,+,NR_024585,lncRNA,.,.,DLG5 antisense RNA 1
DLGAP1,9229,chr18,3496030,4455266,7442,-,NM_001003809,protein_coding,DAP-1|DAP-1-ALPHA|DAP-1-BETA|GKAP|MGC88156|SAPAP1|hGKAP,P14229,discs large homolog associated protein 1
DLGAP1-AS1,649446,chr18,3594112,3597377,993,+,NR_024101,lncRNA,.,.,DLGAP1 antisense RNA 1
DLGAP1-AS2,84777,chr18,3603735,3610087,923,+,NR_119377,lncRNA,.,.,DLGAP1 antisense RNA 2
DLGAP1-AS3,201477,chr18,3878180,3897069,1258,+,NR_038895,lncRNA,.,.,DLGAP1 antisense RNA 3
DLGAP1-AS4,101410534,chr18,3962353,4013943,757,+,NR_102696,lncRNA,.,.,DLGAP1 antisense RNA 4
DLGAP1-AS5,284215,chr18,4264602,4296000,3220,+,NR_036489,lncRNA,.,.,DLGAP1 antisense RNA 5
DLGAP2,9228,chr8,1449532,1656642,10132,+,NM_001277161,protein_coding,DAP2|SAPAP2,P11070,discs large homolog associated protein 2
DLGAP2-AS1,100507435,chr8,1513676,1569830,586,-,NR_103863,lncRNA,.,.,DLGAP2 antisense RNA 1
DLGAP3,58512,chr1,35331037,35395186,3856,-,NM_001080418,protein_coding,DAP3|SAPAP3,P21209,discs large homolog associated protein 3
DLGAP4,22839,chr20,34894245,35157040,6071,+,NM_014902,protein_coding,DAP4|DLP4|FLJ20588|KIAA0964|MGC131862|RP5-977B1.6|SAPAP4,P16325,discs large homolog associated protein 4
DLGAP4-AS1,101926987,chr20,35136105,35201678,1207,-,NR_109939,lncRNA,.,.,DLGAP4 antisense RNA 1
DLGAP5,9787,chr14,55614834,55658396,3084,-,NM_014750,protein_coding,DLG7|HURP|KIAA0008,P28518,discs large homolog associated protein 5
DLK1,8788,chr14,101193202,101201467,1590,+,NM_003836,protein_coding,DLK|FA1|PREF1|Pref-1|ZOG|pG2,P454,delta-like 1 homolog (Drosophila)
DLK2,65989,chr6,43418090,43424370,2290,-,NM_023932,protein_coding,EGFL9|MGC111055|MGC2487,P15175,delta-like 2 homolog (Drosophila)
DLL1,28514,chr6,170591294,170599697,3310,-,NM_005618,protein_coding,DELTA1|DL1|Delta,P8308,delta-like 1 (Drosophila)
DLL3,10683,chr19,39989557,39999121,2046,+,NM_203486,protein_coding,SCDO1,P35401,delta-like 3 (Drosophila)
DLL4,54567,chr15,41221531,41231258,3420,+,NM_019074,protein_coding,MGC126344|hdelta2,P11732,delta-like 4 (Drosophila)
DLST,1743,chr14,75348594,75370450,2915,+,NM_001933,protein_coding,DLTS,P28534,dihydrolipoamide S-succinyltransferase
DLSTP1,1744,chr1,76207687,76210698,3012,-,NR_130749,misc_RNA,DLSTP,.,dihydrolipoamide S-succinyltransferase pseudogene 1
DLX1,1745,chr2,172950208,172954401,2382,+,NM_178120,protein_coding,.,P27449,distal-less homeobox 1
DLX2,1746,chr2,172964166,172967478,2304,-,NM_004405,protein_coding,TES-1|TES1,P28221,distal-less homeobox 2
DLX2-AS1,104326193,chr2,172967734,172974710,950,+,NR_126376,lncRNA,.,.,DLX2 antisense RNA 1 (head to head)
DLX3,1747,chr17,48067369,48072588,2602,-,NM_005220,protein_coding,AI4|TDO,P435,distal-less homeobox 3
DLX4,1748,chr17,48046562,48052323,2514,+,NM_138281,protein_coding,BP1|DLX7|DLX8|DLX9,P404,distal-less homeobox 4
DLX5,1749,chr7,96649702,96654143,1424,-,NM_005221,protein_coding,.,P29509,distal-less homeobox 5
DLX6,1750,chr7,96635290,96640352,1875,+,NM_005222,protein_coding,MGC125282|MGC125283|MGC125284|MGC125285,P5105,distal-less homeobox 6
DLX6-AS1,285987,chr7,96597827,96643377,1990,-,NR_015448,lncRNA,.,.,DLX6 antisense RNA 1
DMAP1,55929,chr1,44679125,44686351,1695,+,NM_001034023,protein_coding,DKFZp686L09142|DNMAP1|DNMTAP1|EAF2|FLJ11543|KIAA1425|MEAF2|SWC4,P3524,DNA methyltransferase 1 associated protein 1
DMBT1,1755,chr10,124320181,124403252,7686,+,NM_017579,protein_coding,FLJ61058|GP340|MGC164738|muclin,P9867,deleted in malignant brain tumors 1
DMBT1P1,375940,chr10,124516210,124557161,3743,+,NR_003570,misc_RNA,.,.,deleted in malignant brain tumors 1 pseudogene 1
DMBX1,127343,chr1,46972668,46979886,3063,+,NM_172225,protein_coding,MBX|OTX3|PAXB,P21084,diencephalon/mesencephalon homeobox 1
DMC1,11144,chr22,38914954,38966201,2382,-,NM_001278208,protein_coding,DMC1H|HsLim15|LIM15|MGC150472|MGC150473|dJ199H16.1,P1256,DNA meiotic recombinase 1
DMD,1756,chrX,31137345,33357726,16219,-,NM_004021,protein_coding,BMD|CMD3B|DXS142|DXS164|DXS206|DXS230|DXS239|DXS268|DXS269|DXS270|DXS272,P22354,dystrophin
DMGDH,29958,chr5,78293387,78365497,4188,-,NM_013391,protein_coding,DMGDHD|ME2GLYDH,P21345,dimethylglycine dehydrogenase
DMKN,93099,chr19,35988119,36004560,2647,-,NR_033746,protein_coding,"FLJ79374|FLJ79374,|UNQ729|ZD52F10",.,dermokine
DMP1,1758,chr4,88571454,88585512,2686,+,NM_001079911,protein_coding,ARHP|ARHR|DMP-1,P34920,dentin matrix acidic phosphoprotein 1
DMPK,1760,chr19,46272967,46285815,3178,-,NM_001081563,protein_coding,DM|DM1|DM1PK|DMK|MDPK|MT-PK,P7736,dystrophia myotonica protein kinase
DMRT1,1761,chr9,841690,969090,2222,+,NM_021951,protein_coding,DMT1,P34284,doublesex and mab-3 related transcription factor 1
DMRT2,10655,chr9,1050346,1057554,2804,+,NM_006557,protein_coding,.,P4758,doublesex and mab-3 related transcription factor 2
DMRT3,58524,chr9,976968,991732,2180,+,NM_021240,protein_coding,DMRTA3|MGC142144,P1011,doublesex and mab-3 related transcription factor 3
DMRTA1,63951,chr9,22446840,22452472,2302,+,NM_022160,protein_coding,DMO|MGC163307|MGC163309,P36101,DMRT like family A1
DMRTA2,63950,chr1,50883223,50889119,3083,-,NM_032110,protein_coding,.,P7603,DMRT like family A2
DMRTB1,63948,chr1,53925072,53933160,1909,+,NM_033067,protein_coding,.,P10613,DMRT like family B with proline rich C-terminal 1
DMRTC1,63947,chrX,72064876,72095622,1258,+,NM_033053_1,protein_coding,DMRTC1B,P6544,DMRT like family C1
DMRTC1B,728656,chrX,72064876,72068636,1100,+,NM_001080851_1,protein_coding,DMRTC1,P6544,DMRT like family C1B
DMRTC2,63946,chr19,42349086,42356397,1820,+,NM_001040283,protein_coding,.,P21725,DMRT like family C2
DMTF1,9988,chr7,86781677,86825648,4836,+,NR_024549,protein_coding,DMP1|DMTF|FLJ25188|FLJ41265|FLJ76054|hDMP1,.,cyclin D binding myb like transcription factor 1
DMTN,2039,chr8,21911066,21940038,3470,+,NM_001114137,protein_coding,.,P15195,dematin actin binding protein
DMWD,1762,chr19,46286264,46296060,3308,-,NM_004943,protein_coding,D19S593E|DMR-N9|DMRN9|gene59,P33878,"dystrophia myotonica, WD repeat containing"
DMXL1,1657,chr5,118406782,118584824,11669,+,NM_001290321,protein_coding,DKFZp779O1239|FLJ44772,P5908,Dmx like 1
DMXL2,23312,chr15,51739921,51914967,10596,-,NM_015263,protein_coding,FLJ26672|KIAA0856|RC3,P27800,Dmx like 2
DNA2,1763,chr10,70173821,70231878,4132,-,NM_001080449,protein_coding,DNA2L|FLJ10063|KIAA0083|MGC133297,P21378,DNA replication helicase/nuclease 2
DNAAF1,123872,chr16,84178865,84211524,2436,+,NM_178452,protein_coding,.,P17009,dynein (axonemal) assembly factor 1
DNAAF2,55172,chr14,50091892,50101948,2963,-,NM_018139,protein_coding,.,P9681,dynein (axonemal) assembly factor 2
DNAAF3,352909,chr19,55670029,55678090,2658,-,NM_178837,protein_coding,.,P11334,dynein (axonemal) assembly factor 3
DNAAF5,54919,chr7,766338,826116,3537,+,NR_075098,protein_coding,.,.,dynein (axonemal) assembly factor 5
DNAH1,25981,chr3,52350335,52434513,13110,+,NM_015512,protein_coding,DNAHC1|HDHC7|HL-11|HL11|XLHSRF-1,P24043,dynein axonemal heavy chain 1
DNAH10,196385,chr12,124247042,124420267,13680,+,NM_207437,protein_coding,FLJ38262|FLJ43486|FLJ43808|KIAA2017,P14917,dynein axonemal heavy chain 10
DNAH11,8701,chr7,21582833,21941186,13896,+,NM_001277115,protein_coding,CILD7|DNAHBL|DNAHC11|DNHBL|DPL11|FLJ30095|FLJ37699,P14305,dynein axonemal heavy chain 11
DNAH12,201625,chr3,57327727,57530071,10111,-,NM_001291661,protein_coding,DHC3|DLP12|DNAH12L|DNAH7L|DNAHC12|DNAHC3|DNHD2|FLJ40427|FLJ44290|HDHC3|HL-19|HL19,P20822,dynein axonemal heavy chain 12
DNAH14,127602,chr1,225117356,225586996,14208,+,NM_001373,protein_coding,C1orf67|DKFZp781B1548|Dnahc14|HL-18|HL18|MGC149665|MGC149666|MGC27277|MGC51214,P13616,dynein axonemal heavy chain 14
DNAH17,8632,chr17,76419778,76573476,13723,-,NM_173628,protein_coding,DNAHL1|DNEL2|FLJ40457|MGC132767|MGC138489,P5295,dynein axonemal heavy chain 17
DNAH17-AS1,100996295,chr17,76480992,76499138,5163,+,NR_102401,lncRNA,.,.,DNAH17 antisense RNA 1
DNAH2,146754,chr17,7620672,7737062,15273,+,NM_020877,protein_coding,DNAHC2|DNHD3|FLJ46675|KIAA1503,P23190,dynein axonemal heavy chain 2
DNAH3,55567,chr16,20944433,21170762,12394,-,NM_017539,protein_coding,DKFZp434N074|DLP3|DNAHC3B|FLJ31947|FLJ43919|FLJ43964|Hsadhc3,P16867,dynein axonemal heavy chain 3
DNAH5,1767,chr5,13690437,13944589,15573,-,NM_001369,protein_coding,CILD3|DNAHC5|FLJ46759|HL1|KIAA1603|KTGNR|PCD,P2020,dynein axonemal heavy chain 5
DNAH6,1768,chr2,84743579,85046713,12795,+,NM_001370,protein_coding,DKFZp667K087|DNHL1|Dnahc6|FLJ23529|FLJ37357|HL-2|HL2|KIAA1697|MGC132544|MGC141984|MGC177197,P12553,dynein axonemal heavy chain 6
DNAH7,56171,chr2,196602427,196933536,12394,-,NM_018897,protein_coding,DKFZp686C09101|FLJ37196|KIAA0944|MGC39580,P1957,dynein axonemal heavy chain 7
DNAH8,1769,chr6,38683117,38998574,14302,+,NM_001206927,protein_coding,ATPase|FLJ25850|FLJ36115|FLJ36334|hdhc9,P26789,dynein axonemal heavy chain 8
DNAH9,1770,chr17,11501748,11873065,14021,+,NM_001372,protein_coding,DNAH17L|DNEL1|DYH9|Dnahc9|HL-20|HL20|KIAA0357,P32868,dynein axonemal heavy chain 9
DNAI1,27019,chr9,34458750,34520987,2712,+,NM_001281428,protein_coding,CILD1|ICS|ICS1|MGC26204|PCD,P17181,dynein axonemal intermediate chain 1
DNAI2,64446,chr17,72270386,72311023,2581,+,NM_001172810,protein_coding,CILD9,P16506,dynein axonemal intermediate chain 2
DNAJA1,3301,chr9,33025209,33039062,1538,+,NM_001539,protein_coding,DJ-2|DjA1|HDJ2|HSDJ|HSJ2|HSPF4|NEDD7|hDJ-2,P1418,DnaJ heat shock protein family (Hsp40) member A1
DNAJA1P5,94236,chr1,102337568,102360299,1781,+,NR_033424,misc_RNA,.,.,DnaJ heat shock protein family (Hsp40) member A1 pseudogene 5
DNAJA2,10294,chr16,46989274,47007625,3048,-,NM_005880,protein_coding,CPR3|DJ3|DJA2|DNAJ|DNJ3|HIRIP4|PRO3015|RDJ2,P16775,DnaJ heat shock protein family (Hsp40) member A2
DNAJA3,9093,chr16,4475806,4506775,2832,+,NM_005147,protein_coding,FLJ45758|TID1|hTid-1,P20429,DnaJ heat shock protein family (Hsp40) member A3
DNAJA4,55466,chr15,78556487,78574538,3511,+,NM_018602,protein_coding,MST104|MSTP104|PRO1472,P4043,DnaJ heat shock protein family (Hsp40) member A4
DNAJB1,3337,chr19,14625576,14629371,2681,-,NM_006145,protein_coding,HSPF1|Hdj1|Hsp40|RSPH16B|Sis1,P16881,DnaJ heat shock protein family (Hsp40) member B1
DNAJB11,51726,chr3,186288465,186303589,1691,+,NM_016306,protein_coding,ABBP-2|ABBP2|DJ9|EDJ|ERdj3|ERj3|HEDJ|PRO1080|UNQ537|hDj9,P12938,DnaJ heat shock protein family (Hsp40) member B11
DNAJB12,54788,chr10,74092588,74114907,3198,-,NM_017626,protein_coding,DJ10|DKFZp586B2023,P14748,DnaJ heat shock protein family (Hsp40) member B12
DNAJB13,374407,chr11,73661364,73681332,1875,+,NM_153614,protein_coding,FLJ46748|RSPH16A|TSARG5|TSARG6,P8484,DnaJ heat shock protein family (Hsp40) member B13
DNAJB14,79982,chr4,100817407,100867883,6323,-,NM_001031723,protein_coding,EGNR9427|FLJ14281|MGC22187|PRO34683,P10737,DnaJ heat shock protein family (Hsp40) member B14
DNAJB2,3300,chr2,220144040,220151622,1974,+,NM_006736,protein_coding,HSJ1|HSPF3,P5415,DnaJ heat shock protein family (Hsp40) member B2
DNAJB3,414061,chr2,234651396,234652661,1266,-,NM_001001394,protein_coding,HCG3|MGC26879,P6649,DnaJ heat shock protein family (Hsp40) member B3
DNAJB4,11080,chr1,78470636,78482995,2237,+,NM_007034,protein_coding,DNAJW|DjB4|HLJ1,P19386,DnaJ heat shock protein family (Hsp40) member B4
DNAJB5,25822,chr9,34989638,34998430,3134,+,NM_012266,protein_coding,Hsc40|KIAA1045,P22143,DnaJ heat shock protein family (Hsp40) member B5
DNAJB5-AS1,101926900,chr9,34985409,34989376,747,-,NR_109756,lncRNA,.,.,DNAJB5 antisense RNA 1 (head to head)
DNAJB6,10049,chr7,157129710,157210133,2605,+,NM_005494,protein_coding,DJ4|DKFZp566D0824|DnaJ|FLJ42837|HHDJ1|HSJ-2|HSJ2|MGC1152|MGC117297|MRJ|MSJ-1,P2386,DnaJ heat shock protein family (Hsp40) member B6
DNAJB7,150353,chr22,41255554,41258130,2577,-,NM_145174,protein_coding,DJ5|HSC3|MGC138340,P26940,DnaJ heat shock protein family (Hsp40) member B7
DNAJB8,165721,chr3,128181275,128186091,2475,-,NM_153330,protein_coding,DJ6|MGC33884,P11429,DnaJ heat shock protein family (Hsp40) member B8
DNAJB8-AS1,285224,chr3,128182437,128191160,1798,+,NR_037890,lncRNA,.,.,DNAJB8 antisense RNA 1
DNAJB9,4189,chr7,108210189,108215294,2538,+,NM_012328,protein_coding,DKFZp564F1862|ERdj4|MDG1|MST049|MSTP049,P18845,DnaJ heat shock protein family (Hsp40) member B9
DNAJC1,64215,chr10,22045477,22292650,2091,-,NM_022365,protein_coding,DNAJL1|ERdj1|HTJ1|MGC131954|MTJ1,P6465,DnaJ heat shock protein family (Hsp40) member C1
DNAJC10,54431,chr2,183580768,183644750,6941,+,NM_018981,protein_coding,DKFZp434J1813|ERdj5|JPDI|MGC104194,P11153,DnaJ heat shock protein family (Hsp40) member C10
DNAJC11,55735,chr1,6694228,6761966,3293,-,NM_018198,protein_coding,FLJ10737|dJ126A5.1,P9102,DnaJ heat shock protein family (Hsp40) member C11
DNAJC12,56521,chr10,69556427,69597937,1668,-,NM_021800,protein_coding,JDP1,P8059,DnaJ heat shock protein family (Hsp40) member C12
DNAJC13,23317,chr3,132136553,132257876,7547,+,NM_015268,protein_coding,FLJ25863|KIAA0678|RME8,P34662,DnaJ heat shock protein family (Hsp40) member C13
DNAJC14,85406,chr12,56214744,56223420,3330,-,NM_032364,protein_coding,DNAJ|DRIP78|HDJ3|LIP6,P12104,DnaJ heat shock protein family (Hsp40) member C14
DNAJC15,29103,chr13,43597362,43683306,2776,+,NM_013238,protein_coding,DNAJD1|HSD18|MCJ,P36062,DnaJ heat shock protein family (Hsp40) member C15
DNAJC16,23341,chr1,15853308,15898228,6069,+,NM_001287811,protein_coding,DKFZp686G1298|DKFZp686N0387|DKFZp781I1547|KIAA0962,P16213,DnaJ heat shock protein family (Hsp40) member C16
DNAJC17,55192,chr15,41060067,41099676,1018,-,NM_018163,protein_coding,FLJ10634,P19763,DnaJ heat shock protein family (Hsp40) member C17
DNAJC18,202052,chr5,138745892,138775214,5102,-,NM_152686,protein_coding,MGC29463,P28663,DnaJ heat shock protein family (Hsp40) member C18
DNAJC19,131118,chr3,180701498,180707562,1665,-,NR_046073,protein_coding,Pam18|TIM14|TIMM14,.,DnaJ heat shock protein family (Hsp40) member C19
DNAJC2,27000,chr7,102952921,102985320,2212,-,NM_014377,protein_coding,MPHOSPH11|MPP11|ZRF1|ZUO1,P23637,DnaJ heat shock protein family (Hsp40) member C2
DNAJC21,134218,chr5,34929698,34959069,6208,+,NM_194283,protein_coding,DNAJA5|GS3|JJJ1,P7552,DnaJ heat shock protein family (Hsp40) member C21
DNAJC22,79962,chr12,49740700,49747467,4412,+,NM_001304944,protein_coding,FLJ13236|wus,P25896,DnaJ heat shock protein family (Hsp40) member C22
DNAJC24,120526,chr11,31391377,31454382,3000,+,NM_181706,protein_coding,DPH4|JJJ3|ZCSL3,P15902,DnaJ heat shock protein family (Hsp40) member C24
DNAJC25,548645,chr9,114393632,114416631,2506,+,NM_001015882,protein_coding,bA16L21.2.1,P17113,DnaJ heat shock protein family (Hsp40) member C25
DNAJC25-GNG10,552891,chr9,114393632,114432526,1499,+,NM_004125,protein_coding,.,P26327,DNAJC25-GNG10 readthrough
DNAJC27,51277,chr2,25166505,25194963,4992,-,NM_001198559,protein_coding,DKFZp434N211|RBJ|RabJS,P25803,DnaJ heat shock protein family (Hsp40) member C27
DNAJC27-AS1,729723,chr2,25194981,25262563,4674,+,NR_034113,lncRNA,.,.,DNAJC27 antisense RNA 1
DNAJC28,54943,chr21,34860362,34864030,1910,-,NM_001040192,protein_coding,C21orf55|C21orf78,P3545,DnaJ heat shock protein family (Hsp40) member C28
DNAJC3,5611,chr13,96329393,96447243,5591,+,NM_006260,protein_coding,FLJ21288|HP58|P58|P58IPK|PRKRI,P18681,DnaJ heat shock protein family (Hsp40) member C3
DNAJC3-AS1,100289274,chr13,96325092,96329179,2905,-,NR_132117,lncRNA,.,.,DNAJC3 antisense RNA 1 (head to head)
DNAJC30,84277,chr7,73095248,73097781,2534,-,NM_032317,protein_coding,MGC12943|WBSCR18,P701,DnaJ heat shock protein family (Hsp40) member C30
DNAJC4,3338,chr11,63997753,64001753,1450,+,NM_005528,protein_coding,DANJC4|HSPF2|MCG18|MGC19482|MGC57189|MGC71863,P1362,DnaJ heat shock protein family (Hsp40) member C4
DNAJC5,80331,chr20,62526455,62567384,5293,+,NM_025219,protein_coding,CSP|DKFZp434N1429|DKFZp761N1221|DNAJC5A|FLJ00118|FLJ13070,P19910,DnaJ heat shock protein family (Hsp40) member C5
DNAJC5B,85479,chr8,66933791,67012755,1380,+,NM_033105,protein_coding,CSP-beta|MGC26226,P35856,DnaJ heat shock protein family (Hsp40) member C5 beta
DNAJC5G,285126,chr2,27498289,27504298,2210,+,NM_173650,protein_coding,CSP-gamma|FLJ40417,P4498,DnaJ heat shock protein family (Hsp40) member C5 gamma
DNAJC6,9829,chr1,65730377,65881552,6320,+,NM_001256865,protein_coding,DJC6|KIAA0473|MGC129914|MGC129915|MGC48436,P3679,DnaJ heat shock protein family (Hsp40) member C6
DNAJC7,7266,chr17,40128439,40169715,2204,-,NM_001144766,protein_coding,DJ11|DJC7|TPR2|TTC2,P24030,DnaJ heat shock protein family (Hsp40) member C7
DNAJC8,22826,chr1,28526790,28559542,1764,-,NM_014280,protein_coding,HSPC331|SPF31,P19508,DnaJ heat shock protein family (Hsp40) member C8
DNAJC9,23234,chr10,75001714,75007089,2369,-,NM_015190,protein_coding,HDJC9|JDD1|KIAA0974|SB73,P6112,DnaJ heat shock protein family (Hsp40) member C9
DNAJC9-AS1,414245,chr10,75007125,75036742,2858,+,NR_038373,lncRNA,.,.,DNAJC9 antisense RNA 1
DNAL1,83544,chr14,74111578,74170431,8570,+,NM_031427,protein_coding,C14orf168|MGC12435,P15853,dynein axonemal light chain 1
DNAL4,10126,chr22,39174513,39190161,1487,-,NM_005740,protein_coding,PIG27,P11614,dynein axonemal light chain 4
DNALI1,7802,chr1,38022520,38032458,2649,+,NM_003462,protein_coding,P28|dJ423B22.5|hp28,P34289,dynein axonemal light intermediate chain 1
DNASE1,1773,chr16,3702940,3708096,3098,+,NM_005223,protein_coding,DKFZp686H0155|DNL1|DRNI|FLJ38093|FLJ44902,P11586,deoxyribonuclease I
DNASE1L1,1774,chrX,153629577,153640428,3732,-,NM_006730,protein_coding,DNAS1L1|DNASEX|DNL1L|XIB,P20074,deoxyribonuclease I-like 1
DNASE1L2,1775,chr16,2286468,2288712,1486,+,NM_001374,protein_coding,DNAS1L2,P15711,deoxyribonuclease I-like 2
DNASE1L3,1776,chr3,58178353,58196730,1076,-,NM_004944,protein_coding,DHP2|DNAS1L3|LSD,P12455,deoxyribonuclease I like 3
DNASE2,1777,chr19,12986025,12992335,2008,-,NM_001375,protein_coding,DNASE2A|DNL|DNL2,P9305,"deoxyribonuclease II, lysosomal"
DNASE2B,58511,chr1,84864215,84880691,1427,+,NM_021233,protein_coding,DLAD,P3347,deoxyribonuclease II beta
DND1,373863,chr5,140050381,140053171,1603,-,NM_194249,protein_coding,MGC34750|RBMS4,P25381,DND microRNA-mediated repression inhibitor 1
DNER,92737,chr2,230222345,230579286,3272,-,NM_139072,protein_coding,UNQ26|bet,P16338,delta/notch like EGF repeat containing
DNHD1,144132,chr11,6518526,6593254,14864,+,NM_144666,protein_coding,C11orf47|CCDC35|DHCD1|DKFZp434G0812|DKFZp686J0796|DKFZp686N1238|DNHD1L|FLJ00251|FLJ32752|FLJ35709|FLJ39625|FLJ43897|FLJ46184|MGC133191,P22727,dynein heavy chain domain 1
