Gene ID,Entrez ID,chromosome,start,end,width,strand,p_id,transcript_id,tss_id,bioType,Aliases,Description
Scn8a,20273,chr15,100870645,101045938,11432,+,P23628,NM_001077499,TSS25059,protein_coding,AI853486| C630029C19Rik| dmu| med| mnd-2| mnd2| NaCh6| Nav1.6| nmf2| nmf335| nmf58| nur14| seal,"sodium channel, voltage-gated, type VIII, alpha"
Fignl2,668225,chr15,101050192,101054399,4208,-,P18172,NM_001214911,TSS2904,protein_coding,EG668225,fidgetin-like 2
Ankrd33,208258,chr15,101115755,101120024,1444,+,P777,NM_144790,TSS17270,protein_coding,A930021G21Rik| Panky| Panky-a,ankyrin repeat domain 33
Acvrl1,11482,chr15,101128522,101145336,3955,+,P19873,NM_009612,TSS22608,protein_coding,Acvrlk1| AI115505| AI427544| Alk1,"activin A receptor, type II-like 1"
Acvr1b,11479,chr15,101174125,101212601,3277,+,P5592,NM_007395,TSS24408,protein_coding,6820432J04| ActR-IB| ActRIB| Acvrlk4| Alk4| SKR2,"activin A receptor, type 1B"
A330009N23Rik,380977,chr15,101221191,101225186,1776,-,,NR_045328,TSS8901,lncRNA,.,RIKEN cDNA A330009N23 gene
AU021063,105968,chr15,101221247,101222155,583,+,,NR_045996,TSS23151,lncRNA,.,expressed sequence AU021063
Grasp,56149,chr15,101224207,101232756,2014,+,P20983,NM_019518,TSS16479,protein_coding,tamalin,GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein
Nr4a1,15370,chr15,101266846,101274794,2476,+,P25267,NM_010444,TSS5175,protein_coding,Gfrp| GFRP1| Hbr-1| Hbr1| Hmr| N10| NGFI-B| NGFIB| NP10| nur77| TIS1| TR3,"nuclear receptor subfamily 4, group A, member 1"
Atg101,68118,chr15,101284301,101290934,1230,+,P6422,NM_026566,TSS2655,protein_coding,9430023L20Rik| AA407441| AU022967,autophagy related 101
6030408B16Rik,77717,chr15,101293212,101297426,1967,+,,NR_033803,TSS24072,lncRNA,AI225877,RIKEN cDNA 6030408B16 gene
Krt80,74127,chr15,101349571,101370125,1774,-,P987,NM_028770,TSS1382,protein_coding,1200016G03Rik| 2310041I20Rik| Kb20,keratin 80
Krt7,110310,chr15,101412403,101427806,1586,+,P10420,NM_033073,TSS6522,protein_coding,D15Wsu77e| K7| Krt2-7,keratin 7
Krt85,.,chr15,101431014,101491303,1631,-,P19548,NM_016879,TSS21485,.,.,.
Krt83,100126226,chr15,101431490,101438804,1794,-,P17411,NM_001003668,TSS6799,protein_coding,5430421N21Rik,keratin 83
1700011A15Rik,.,chr15,101447745,101453909,903,+,P25533,NM_025487,TSS6469,.,.,.
Krt81,64818,chr15,101459061,101463765,1636,-,P17687,NM_001166157,TSS26678,protein_coding,AA589625| Krt2-19,keratin 81
Krt86,16679,chr15,101473478,101479983,1960,+,P20685,NM_010667,TSS897,protein_coding,5430421N21Rik| AI325212| Khb4| Krt2-10| Krt2-11| MHb4,keratin 86
5430421N21Rik,.,chr15,101485130,101489792,1166,-,P17629,NM_001201323,TSS12235,.,.,.
Gm6042,574415,chr15,101503816,101506313,282,+,,NR_002872,TSS16023,misc_RNA,EG574415| Kb32p| Krt89,predicted gene 6042
Krt84,16680,chr15,101525026,101532820,2570,-,P19184,NM_008474,TSS23785,protein_coding,AV235125| HRb-1| Krt2-16| Krt2-3,keratin 84
Krt82,114566,chr15,101541221,101550659,2095,-,P20257,NM_053249,TSS11319,protein_coding,Krt2-20,keratin 82
4732456N10Rik,.,chr15,101552356,101562950,2534,-,P24185,NM_177717,TSS17523,.,.,.
Krt75,109052,chr15,101563343,101573904,3268,-,P16383,NM_133357,TSS7674,protein_coding,4732468K03Rik| AA589387| K6hf| Krt2-6hf| Krtcap1,keratin 75
Gm5476,432985,chr15,101587317,101588572,402,-,,NR_002868,TSS23162,misc_RNA,EG432985| Kb17P,predicted gene 5476
Gm5477,432986,chr15,101608874,101610479,717,+,,NR_002869,TSS22564,misc_RNA,EG432986| Kb16p,predicted gene 5477
Gm5414,406223,chr15,101624028,101628188,1659,-,P15802,NM_001003670,TSS7534,protein_coding,EG406223| Kb14,predicted gene 5414
Gm5478,432987,chr15,101643020,101647380,2960,-,,NR_003960,TSS2137,misc_RNA,EG432987,predicted pseudogene 5478
Krt6b,16688,chr15,101676023,101680289,2237,-,P10985,NM_010669,TSS12066,protein_coding,BB144589| Krt2-6b| mK6[b],keratin 6B
Krt6a,16687,chr15,101689928,101694305,2258,-,P9165,NM_008476,TSS8118,protein_coding,2310016L08Rik| Krt2-6a| Krt2-6c| MK6a| mK6[a],keratin 6A
Krt5,110308,chr15,101707070,101712891,2190,-,P19839,NM_027011,TSS6805,protein_coding,3300001P10Rik| AW146334| CK5| K5| Krt2-5| Tfip8,keratin 5
Krt71,56735,chr15,101733949,101743097,2174,-,P20153,NM_019956,TSS19543,protein_coding,AA589543| Ca| Cal4| Cu| Krt2-6g| mK6irs| mK6irs1,keratin 71
Krt74,406222,chr15,101754259,101763504,1589,-,,NR_033444,TSS9685,misc_RNA,K74| Kb37,keratin 74
Krt72,105866,chr15,101776560,101786458,1563,-,P5106,NM_213728,TSS24511,protein_coding,AI507495| K6irs2| Krt2-35| Krt72-ps,keratin 72
Krt73,223915,chr15,101793308,101802332,2154,-,P9795,NM_212485,TSS18994,protein_coding,BC067067| Kb36,keratin 73
Krt2,16681,chr15,101810689,101818169,2613,-,P22265,NM_010668,TSS21481,protein_coding,BB005427| Krt2-17| Krt2-2| Krt2e,keratin 2
Krt1,16678,chr15,101845426,101850786,2447,-,P4734,NM_008473,TSS4311,protein_coding,Krt-2.1| Krt2-1| Krt86,keratin 1
Krt77,406220,chr15,101859856,101869618,1719,-,P13673,NM_001003667,TSS18942,protein_coding,4732484G22Rik| K1emb| Krt239| mK1b,keratin 77
Krt76,77055,chr15,101884351,101892920,2312,-,P24799,NM_001033177,TSS10697,protein_coding,2310001L23Rik,keratin 76
Krt4,16682,chr15,101918535,101924735,2133,-,P23254,NM_008475,TSS10289,protein_coding,AW108092| K4| Krt-2.4| Krt2-4,keratin 4
Krt79,223917,chr15,101929332,101940324,2097,-,P6125,NM_146063,TSS27658,protein_coding,BC031593,keratin 79
Krt78,332131,chr15,101946004,101954287,3434,-,P23626,NM_212487,TSS10860,protein_coding,2310030B04Rik| Kb40,keratin 78
Krt8,16691,chr15,101996711,102004342,1805,-,P8926,NM_031170,TSS7800,protein_coding,AA960620| AL022697| AU019895| Card2| EndoA| K8| Krt-2.8| Krt2-8,keratin 8
Krt18,16668,chr15,102028216,102032026,1400,+,P9280,NM_010664,TSS8367,protein_coding,CK18| K18| Krt1-18,keratin 18
Eif4b,75705,chr15,102073773,102097173,3854,+,P24227,NM_145625,TSS22478,protein_coding,2310046H11Rik| AL024095| C85189| Eif4a2,eukaryotic translation initiation factor 4B
Tns2,209039,chr15,102102988,102116401,4707,+,P15165,NM_153533,TSS2428,protein_coding,C1-ten| nep| nph| Tenc1,tensin 2
Spryd3,223918,chr15,102116528,102136215,2437,-,P14246,NM_001033277,TSS2790,protein_coding,BC008150,SPRY domain containing 3
Igfbp6,16012,chr15,102144186,102149512,1289,+,P24086,NM_008344,TSS3756,protein_coding,IGFBP-6,insulin-like growth factor binding protein 6
Soat2,223920,chr15,102150575,102163436,2126,+,P11104,NM_146064,TSS18068,protein_coding,ACAT2| D15Wsu97e,sterol O-acyltransferase 2
Csad,246277,chr15,102176998,102189043,2265,-,P16087,NM_144942,TSS1467,protein_coding,Csd,cysteine sulfinic acid decarboxylase
Zfp740,68744,chr15,102203645,102215610,4172,+,P4657,NM_001289691,TSS13278,protein_coding,1110034O07Rik| AW548228| Znf740,zinc finger protein 740
Itgb7,16421,chr15,102215995,102231935,2674,-,P2275,NM_013566,TSS14115,protein_coding,Ly69,integrin beta 7
Rarg,19411,chr15,102234938,102257522,3399,-,P7878,NM_001042727,TSS20786,protein_coding,Nr1b3| RAR-gamma| RARD| RARgamma2,"retinoic acid receptor, gamma"
Mfsd5,106073,chr15,102279456,102281744,1742,+,P2730,NM_134100,TSS3432,protein_coding,AA409375| AW556797| D15Mgi27,major facilitator superfamily domain containing 5
Espl1,105988,chr15,102296293,102324356,6630,+,P13198,NM_001014976,TSS25560,protein_coding,AL024103| AU045071| Cerp| ESP1| PRCE| SSE,"extra spindle pole bodies 1, separase"
Pfdn5,56612,chr15,102326116,102331489,678,+,P111,NM_027044,TSS18209,protein_coding,1190001O17Rik| 1700010A06Rik| D15Ertd697e| Eig1| MM-1,prefoldin 5
Myg1,60315,chr15,102331709,102338138,1479,+,P8771,NM_021713,TSS11657,protein_coding,0610023A07Rik| 2810433J21Rik| 5830429P19Rik| AI325965| Gamm1,melanocyte proliferating gene 1
Aaas,223921,chr15,102338247,102350759,1816,-,P7726,NM_153416,TSS24070,protein_coding,AAA| ADRACALA| D030041N15Rik| GL003,"achalasia, adrenocortical insufficiency, alacrimia"
Sp7,170574,chr15,102357177,102366271,2284,-,P4815,NM_130458,TSS7498,protein_coding,6430578P22Rik| C22| Osx,Sp7 transcription factor 7
Sp1,20683,chr15,102406316,102436404,7818,+,P5635,NM_013672,TSS13045,protein_coding,1110003E12Rik| AA450830| AI845540| Sp1-1,trans-acting transcription factor 1
Amhr2,110542,chr15,102445367,102454639,1947,+,P7708,NM_144547,TSS6000,protein_coding,Misiir| Misrii| Mrii,anti-Mullerian hormone type 2 receptor
Prr13,66151,chr15,102459170,102462806,1229,+,P20021,NM_001170911,TSS5125,protein_coding,1110020C13Rik| 2010324E22Rik,proline rich 13
Pcbp2,18521,chr15,102470632,102500059,3073,+,P650,NM_011042,TSS20247,protein_coding,alphaCP-2| AW412548| Hnrpx,poly(rC) binding protein 2
Map3k12,26404,chr15,102497647,102517004,5528,-,P21418,NM_009582,TSS22223,protein_coding,DLK| MUK| Zpk,mitogen-activated protein kinase kinase kinase 12
Tarbp2,21357,chr15,102518192,102523676,1790,+,P15285,NM_001253795,TSS13887,protein_coding,Prbp| TRBP,TAR (HIV) RNA binding protein 2
Npff,54615,chr15,102523839,102524621,446,-,,NR_033409,TSS10419,protein_coding,.,neuropeptide FF-amide peptide precursor
Atf7,223922,chr15,102525946,102625464,9359,-,P24186,NM_001310070,TSS16867,protein_coding,1110012F10Rik| 9430065F09Rik| AI549878| C130020M04Rik,activating transcription factor 7
Atp5g2,67942,chr15,102662868,102671047,647,-,P24109,NM_026468,TSS6738,protein_coding,1810041M08Rik,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)"
Calcoco1,67488,chr15,102706777,102722178,2824,-,P3785,NM_026192,TSS18974,protein_coding,1810009B06Rik| Cocoa| Gcap11| mKIAA1536,calcium binding and coiled coil domain 1
Gm38436,102216269,chr15,102746441,102746909,469,-,,NR_104334,TSS7213,lncRNA,Cistr| Cistr-act,"predicted gene, 38436"
Hoxc13,15422,chr15,102921131,102928814,2433,+,P8255,NM_010464,TSS27587,protein_coding,.,homeobox C13
Hoxc12,15421,chr15,102936853,102938517,843,+,P2975,NM_010463,TSS26600,protein_coding,Hox-3.8,homeobox C12
Hotair,100503872,chr15,102944062,102947946,2222,-,,NR_047528,TSS18780,lncRNA,Gm16258| OTTMUSG00000032781,HOX transcript antisense RNA (non-protein coding)
Hoxc11,109663,chr15,102954526,102956701,915,+,P25233,NM_001024842,TSS16208,protein_coding,Hox-3.7,homeobox C11
Hoxc10,209448,chr15,102966796,102971897,1913,+,P18191,NM_010462,TSS2995,protein_coding,AI506621| Hox-3.6,homeobox C10
Hoxc9,15427,chr15,102977032,102984444,1719,+,P9849,NM_008272,TSS8826,protein_coding,Hox-3.2,homeobox C9
Hoxc8,15426,chr15,102990539,102994254,2369,+,P16205,NM_010466,TSS19074,protein_coding,D130011F21Rik| Hox-3.1,homeobox C8
Hoxc6,15425,chr15,103009562,103011881,1592,+,P9976,NM_010465,TSS5859,protein_coding,Hox-3.3| Hox-6.1,homeobox C6
Hoxc5,15424,chr15,103014008,103017429,2730,+,P2232,NM_175730,TSS15286,protein_coding,AI181837| Hox-3.4| Hox-6.2,homeobox C5
Hoxc4,15423,chr15,103034395,103036852,1983,+,P9202,NM_013553,TSS7064,protein_coding,Hox-3.5,homeobox C4
D930007P13Rik,432989,chr15,103123070,103146828,1324,-,,NR_045743,TSS21842,lncRNA,.,Riken cDNA D930007P13 gene
Smug1,71726,chr15,103153290,103163284,3611,-,P15570,NM_027885,TSS2291,protein_coding,1200013B09Rik| A930006H09Rik| C85220,single-strand selective monofunctional uracil DNA glycosylase
Cbx5,12419,chr15,103191546,103239816,8986,-,P12337,NM_001110216,TSS7584,protein_coding,2610029O15Rik| C75991| HP1| Hp1a| Hp1alpha,chromobox 5
Hnrnpa1,15382,chr15,103240397,103246698,638,+,,NR_104427,TSS5397,protein_coding,Hdp| HDP-1| hnRNP A1| hnrnp-A1| Hnrpa1,heterogeneous nuclear ribonucleoprotein A1
Gm10052,654467,chr15,103240432,103244584,426,+,,NR_002885,TSS20425,misc_RNA,654467| ENSMUSG00000058922| XM_001481145,predicted pseudogene 10052
Gm5643,434858,chr15,103240454,103244028,1034,+,,NR_002883_1,TSS27534,misc_RNA,EG434858,predicted gene 5643
Nfe2,18022,chr15,103248212,103258403,2839,-,P8662,NM_001302338,TSS10788,protein_coding,NF-E2| NF-E2 /P45| p45| p45nf-e2| p45NFE2,"nuclear factor, erythroid derived 2"
Copz1,56447,chr15,103272918,103299864,1664,+,P12800,NM_019817,TSS780,protein_coding,5930435A22Rik| AA407760| D4Ertd360e,"coatomer protein complex, subunit zeta 1"
Gpr84,80910,chr15,103308235,103310438,1551,-,P11662,NM_030720,TSS6908,protein_coding,EX33,G protein-coupled receptor 84
Zfp385a,29813,chr15,103313895,103340086,2291,-,P13540,NM_013866,TSS3538,protein_coding,Hzf| Zfp385| Znf385a,zinc finger protein 385A
Itga5,16402,chr15,103344286,103366748,4367,-,P12109,NM_010577,TSS20168,protein_coding,Cd49e| Fnra| VLA5,integrin alpha 5 (fibronectin receptor alpha)
Gtsf1,74174,chr15,103402459,103430427,722,-,P9194,NM_028797,TSS16801,protein_coding,1700006H03Rik| Cue110,gametocyte specific factor 1
BC048502,223927,chr15,103438960,103448459,723,-,P1924,NM_177631,TSS19551,protein_coding,.,cDNA sequence BC048502
Nckap1l,105855,chr15,103453825,103498800,4717,+,P26145,NM_153505,TSS11432,protein_coding,4930568P13Rik| AI463083| Hem1| Hemp1,NCK associated protein 1 like
Pde1b,18574,chr15,103503034,103530056,3667,+,P11648,NM_008800,TSS7231,protein_coding,Pde1b1,"phosphodiesterase 1B, Ca2+-calmodulin dependent"
Ppp1r1a,58200,chr15,103530279,103537992,1295,-,P8563,NM_021391,TSS7176,protein_coding,0610038N18Rik| I-1,"protein phosphatase 1, regulatory (inhibitor) subunit 1A"
Glycam1,14663,chr15,103562760,103565081,884,-,P335,NM_008134,TSS11131,protein_coding,glyCAM-1| MC26| Sgp50,glycosylation dependent cell adhesion molecule 1
Mucl1,20771,chr15,103751923,103899300,1329,-,,NR_126081,TSS24133,misc_RNA,Spt-2| Spt2,mucin-like 1
Spt1,.,chr15,103895856,103898446,509,-,P15869,NM_009267,TSS10922,.,.,.
Olfr161,258859,chr16,3592398,3593339,942,+,P23523,NM_146860,TSS19013,protein_coding,MOR131-1| OR912-47M6,olfactory receptor 161
Mefv,54483,chr16,3707215,3718124,4062,-,P17947,NM_019453,TSS24915,protein_coding,FMF| pyrin| TRIM20,Mediterranean fever
Zfp263,74120,chr16,3744099,3750788,3242,+,P18022,NM_148924,TSS658,protein_coding,1200014J04Rik| AI326880| AU020888| mFPM315| NT2,zinc finger protein 263
Olfr15,18312,chr16,3838975,3839913,939,+,P10739,NM_008762,TSS25493,protein_coding,MOR256-17| OR3,olfactory receptor 15
Zfp174,385674,chr16,3847223,3858880,5942,+,P15143,NM_001081217,TSS8579,protein_coding,Gm1754,zinc finger protein 174
Zfp597,71063,chr16,3861544,3872374,5630,-,P526,NM_001033159,TSS17793,protein_coding,4933407K12Rik| AI462383| AI666357,zinc finger protein 597
Naa60,74763,chr16,3884619,3904781,2425,+,P19389,NM_001290689,TSS3505,protein_coding,1200013P24Rik| AI315146| Nat15,"N(alpha)-acetyltransferase 60, NatF catalytic subunit"
1700037C18Rik,73261,chr16,3905798,3908689,1097,-,P24326,NM_028484,TSS6518,protein_coding,2810022L20Rik,RIKEN cDNA 1700037C18 gene
Cluap1,76779,chr16,3909009,3941147,1595,+,P14257,NM_029738,TSS4935,protein_coding,2310030D15Rik| 2610111M03Rik,clusterin associated protein 1
Nlrc3,268857,chr16,3946933,3976632,4080,-,P2160,NM_001081280,TSS14217,protein_coding,CLR16.2| D230007K08Rik| mFLJ00348,"NLR family, CARD domain containing 3"
Slx4,52864,chr16,3979106,4001678,5721,-,P3247,NM_177472,TSS16690,protein_coding,AI256635| AI426760| Btbd12| D16Bwg1016e,SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)
Dnase1,13419,chr16,4037145,4040024,1305,+,P936,NM_010061,TSS25379,protein_coding,AI788650| DNaseI| Dnl1,deoxyribonuclease I
Trap1,68015,chr16,4039977,4077810,2297,-,P11492,NM_026508,TSS9180,protein_coding,2410002K23Rik| HSP75,TNF receptor-associated protein 1
Crebbp,12914,chr16,4084048,4213404,7507,-,P15848,NM_001025432,TSS24811,protein_coding,AW558298| CBP| CBP /p300| KAT3A| p300 /CBP,CREB binding protein
4930455F16Rik,76397,chr16,4219912,4229116,758,-,,NR_040572,TSS6369,lncRNA,1700013J11Rik,RIKEN cDNA 4930455F16 gene
Gm5766,436332,chr16,4229229,4231205,1977,+,,NR_003628,TSS4391,misc_RNA,EG436332,predicted gene 5766
Adcy9,11515,chr16,4284886,4420498,7617,-,P7090,NM_001291910,TSS14100,protein_coding,AC9| ACtp10| AW125421| D16Wsu65e| mKIAA0520,adenylate cyclase 9
Srl,106393,chr16,4480228,4523053,4978,-,P14697,NM_175347,TSS8437,protein_coding,9830004M20Rik| AW108387| sar,sarcalumenin
Tfap4,83383,chr16,4544661,4559720,2113,-,P25229,NM_031182,TSS12550,protein_coding,AI642933| AP-4| bHLHc41| D930048N17Rik| Tcfap4,transcription factor AP4
Glis2,83396,chr16,4594713,4615957,3619,+,P17847,NM_031184,TSS9853,protein_coding,Gli5| Klf16| Nkl,GLIS family zinc finger 2
Pam16,66449,chr16,4616466,4624946,552,-,P13503,NM_025571,TSS14110,protein_coding,2010110I09Rik| AV006767| CGI-136| Magmas| Tim16| Timm16,presequence translocase-asssociated motor 16 homolog (S. cerevisiae)
Coro7,78885,chr16,4626884,4679720,3488,-,P7420,NM_030205,TSS50,protein_coding,0610011B16Rik| AW048373| AW556392,coronin 7
Vasn,246154,chr16,4639945,4651166,3189,+,P24116,NM_139307,TSS25623,protein_coding,2610528G05Rik| Atia| Slitl2,vasorin
Dnaja3,83945,chr16,4684070,4707693,2646,+,P19723,NM_023646,TSS6917,protein_coding,1200003J13Rik| 1810053A11Rik| C81173| Tid-1| Tid1l,DnaJ heat shock protein family (Hsp40) member A3
Nmral1,67824,chr16,4711318,4719356,1715,-,P2702,NM_001290761,TSS10672,protein_coding,1110025F24Rik| AI256624,NmrA-like family domain containing 1
Hmox2,15369,chr16,4726361,4766249,1366,+,P18759,NM_001136066,TSS14457,protein_coding,HO-2| HO2,heme oxygenase 2
Cdip1,66626,chr16,4765461,4789935,3898,-,P5366,NM_025670,TSS23066,protein_coding,2700048O17Rik| 5730403B10Rik| AU018521| AW742692| CDIP,cell death inducing Trp53 target 1
4930562C15Rik,78809,chr16,4835416,4867691,3829,+,P18813,NM_030192,TSS13128,protein_coding,.,RIKEN cDNA 4930562C15 gene
Ubald1,207740,chr16,4874779,4879851,1386,-,P9990,NM_145359,TSS12618,protein_coding,1500031H01Rik| BC013706| Fam100a,UBA-like domain containing 1
Mgrn1,17237,chr16,4886100,4938296,3412,+,P17344,NM_029657,TSS17001,protein_coding,2610042J20Rik| md| mKIAA0544| nc,"mahogunin, ring finger 1"
Gm16861,100503704,chr16,4935164,4939585,1531,-,,NR_037666,TSS13869,lncRNA,.,"predicted gene, 16861"
Nudt16l1,66911,chr16,4939111,4941020,1269,+,P11909,NM_025839,TSS6970,protein_coding,1110001K21Rik| 5330437I08Rik| Sdos,nudix (nucleoside diphosphate linked moiety X)-type motif 16-like 1
Anks3,72615,chr16,4941415,4964237,2483,-,P19595,NM_028301,TSS24865,protein_coding,2700067D09Rik| C81345| mKIAA1977,ankyrin repeat and sterile alpha motif domain containing 3
4930451G09Rik,74684,chr16,4964288,4978054,2026,+,P19987,NM_001271586,TSS16610,misc_RNA,.,RIKEN cDNA 4930451G09 gene
12.Sep,71089,chr16,4986858,4997852,3008,-,P12580,NM_027669,TSS5041,protein_coding,1700028G04Rik| 4933413B09Rik| Septin12,septin 12
Smim22,432995,chr16,5007288,5008308,587,+,P21225,NM_001253802,TSS14207,protein_coding,EG432995| Gm5480,small integral membrane protein 22
Rogdi,66049,chr16,5008729,5013553,1392,-,P9224,NM_133185,TSS2563,protein_coding,0610011C19Rik| AU020118| C76152| Lzf,rogdi homolog
Glyr1,74022,chr16,5013902,5049910,3247,-,P10928,NM_001079814,TSS20064,protein_coding,2810419J22Rik| 3930401K13Rik| AW545332| Npac,glyoxylate reductase 1 homolog (Arabidopsis)
Ubn1,170644,chr16,5050068,5086285,6455,+,P20249,NM_026666,TSS19395,protein_coding,1110029L11Rik| 2610108L02Rik| AA673476| AW124741,ubinuclein 1
Ppl,19041,chr16,5086291,5132481,6277,-,P4227,NM_008909,TSS26986,protein_coding,AW553870,periplakin
Sec14l5,665119,chr16,5147109,5183934,2337,+,P17442,NM_001127725,TSS9688,protein_coding,.,SEC14-like lipid binding 5
Nagpa,27426,chr16,5195280,5204012,2152,-,P21970,NM_013796,TSS736,protein_coding,AI596180| UCE,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
AU021092,239691,chr16,5211819,5222299,1372,-,P10392,NM_001033220,TSS23292,protein_coding,.,expressed sequence AU021092
Alg1,208211,chr16,5233621,5244907,1759,+,P20237,NM_145362,TSS21125,protein_coding,HMAT1| HMT1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)"
Eef2kmt,70511,chr16,5244155,5255956,2140,-,P24659,NM_027446,TSS10142,protein_coding,5730409G15Rik| eEF2-KMT| Fam86| Fam86a,eukaryotic elongation factor 2 lysine methyltransferase
Rbfox1,268859,chr16,5884793,7412480,5481,+,P14402,NM_021477,TSS7767,protein_coding,A2bp| A2bp1| fox-1| Hrnbp1,"RNA binding protein, fox-1 homolog (C. elegans) 1"
1700123O21Rik,68238,chr16,5975587,5998496,675,+,,NR_045799,TSS3491,lncRNA,.,RIKEN cDNA 1700123O21 gene
Tmem114,74720,chr16,8409276,8425136,1406,-,P5063,NM_029070,TSS19871,protein_coding,4930511J11Rik| Cldn26,transmembrane protein 114
Mettl22,239706,chr16,8470813,8490197,1313,+,P13378,NM_146247,TSS12849,protein_coding,.,methyltransferase like 22
Abat,268860,chr16,8513429,8621567,4635,+,P1191,NM_172961,TSS13899,protein_coding,9630038C02Rik| AI255750| ENSMUSG00000051226| Gabaat| Gabat| Gm9851| I54| Laibat| X61497,4-aminobutyrate aminotransferase
Tmem186,66690,chr16,8633731,8637701,2878,-,P12491,NM_025708,TSS23718,protein_coding,2810440M13Rik| 4432406C05Rik| AI648175| AW210586,transmembrane protein 186
Pmm2,54128,chr16,8637707,8657524,1802,+,P9099,NM_016881,TSS19176,protein_coding,AI585868| C86848,phosphomannomutase 2
Carhsp1,52502,chr16,8658587,8672153,2849,-,P24489,NM_025821,TSS26489,protein_coding,1200011K09Rik| Crhsp-24| D16Ertd465e,calcium regulated heat stable protein 1
Usp7,252870,chr16,8688722,8738342,5427,-,P755,NM_001003918,TSS2357,protein_coding,2210010O09Rik| AA409944| AA617399| AU019296| AW548146| C80752| Hausp,ubiquitin specific peptidase 7
1810013L24Rik,69053,chr16,8830100,8858924,4074,+,P23223,NM_001081400,TSS18317,protein_coding,1110017P05Rik| 3010002C02Rik| AA792997| AW124177| Gm19906| R74903,RIKEN cDNA 1810013L24 gene
Grin2a,14811,chr16,9577710,9992533,4512,-,P23730,NM_008170,TSS10358,protein_coding,GluN2A| NMDAR2A| NR2A,"glutamate receptor, ionotropic, NMDA2A (epsilon 1)"
Rpl39l,68172,chr16,10170228,10174911,805,+,P9714,NM_026594,TSS2300,protein_coding,4930517K11Rik,ribosomal protein L39-like
Atf7ip2,75329,chr16,10192906,10243051,2584,+,P21236,NM_029253,TSS363,protein_coding,4930558K11Rik| BC018510| Get-1| PSM2,activating transcription factor 7 interacting protein 2
Emp2,13731,chr16,10281749,10313968,3440,-,P1325,NM_007929,TSS19755,protein_coding,XMP,epithelial membrane protein 2
Gm1600,381033,chr16,10324105,10331285,4490,-,,NR_126064,TSS10645,lncRNA,Gm1776,predicted gene 1600
Tekt5,70426,chr16,10357952,10395448,1916,-,P26082,NM_001291001,TSS19986,protein_coding,3300001K11Rik,tektin 5
Nubp1,26425,chr16,10411938,10424425,2128,+,P10596,NM_011955,TSS27276,protein_coding,.,nucleotide binding protein 1
Tvp23a,383103,chr16,10420559,10447350,3301,-,P18728,NM_001013778,TSS24080,protein_coding,Fam18a,trans-golgi network vesicle protein 23A
Ciita,12265,chr16,10480072,10527640,6075,+,P2978,NM_001243760,TSS13522,protein_coding,C2ta| EG669998| Gm9475| Mhc2ta,class II transactivator
Dexi,58239,chr16,10530207,10543054,1389,-,P12822,NM_021428,TSS3131,protein_coding,1810029J14Rik| AI836170| AW413143| D16Bwg0586e| Myle,dexamethasone-induced transcript
Clec16a,74374,chr16,10545339,10744878,6262,+,P2744,NM_001204229,TSS1537,protein_coding,4932416N17Rik| curt| mKIAA0350,"C-type lectin domain family 16, member A"
Socs1,12703,chr16,10783809,10785536,1219,-,P8360,NM_009896,TSS1687,protein_coding,Cish1| Cish7| JAB| SOCS-1| SSI-1,suppressor of cytokine signaling 1
Tnp2,21959,chr16,10787935,10788655,550,-,P19431,NM_013694,TSS16269,protein_coding,Tp-2| TP2,transition protein 2
Prm3,19120,chr16,10790508,10790914,407,-,P13709,NM_013638,TSS7884,protein_coding,BC061127| PX| Pxg,protamine 3
Prm2,19119,chr16,10791381,10792097,612,-,P5461,NM_008933,TSS23946,protein_coding,AI528784| Prm-2,protamine 2
Prm1,19118,chr16,10796332,10796823,400,-,P11082,NM_013637,TSS12122,protein_coding,Prm-1,protamine 1
Rmi2,223970,chr16,10835059,10843235,3739,+,P3419,NM_001162932,TSS6751,protein_coding,A630055G03Rik| Gm537| Gm929,RecQ mediated genome instability 2
Gm21859,545180,chr16,10912012,10914797,1045,-,,NR_131135,TSS8442,lncRNA,.,"predicted gene, 21859"
Litaf,56722,chr16,10959273,10993121,2237,-,P22609,NM_019980,TSS15053,protein_coding,3222402J11Rik| C85531| N4WBP3| TBX1,LPS-induced TN factor
Gm4262,100043147,chr16,11008898,11015184,1984,+,,NR_040518,TSS10466,lncRNA,100043147,predicted gene 4262
Snn,20621,chr16,11066298,11074986,2905,+,P20814,NM_009223,TSS17890,protein_coding,2810407J07Rik| AI848521| AW547286,stannin
Txndc11,106200,chr16,11074911,11134532,2338,-,P1959,NM_134105,TSS27660,protein_coding,2810408E11Rik| AI427833| EFP1| Txdc11,thioredoxin domain containing 11
Zc3h7a,106205,chr16,11136594,11176393,3867,-,,NR_027502,TSS8822,protein_coding,A430104C18Rik| AI447294| AW556219| HSPC055| Zc3h7| Zc3hdc7,zinc finger CCCH type containing 7 A
Rsl1d1,66409,chr16,11193037,11203292,1839,-,P2911,NM_025546,TSS1035,protein_coding,2410005K20Rik| C76439| pBK1,ribosomal L1 domain containing 1
