Entry	Base_Accession	Protein_Family	Index_in_full_fasta	Gene_Name
Q01970	Q01970	Not available	6078	PLCB3
Q01973	Q01973	Protein kinase superfamily, Tyr protein kinase family, ROR subfamily	6079	ROR1
Q01974	Q01974	Protein kinase superfamily, Tyr protein kinase family, ROR subfamily	6080	ROR2
Q02040	Q02040	Not available	6081	AKAP17A
Q02078	Q02078	MEF2 family	6082	MEF2A
Q02080	Q02080	MEF2 family	6083	MEF2B
Q02083	Q02083	Acid ceramidase family	6084	NAAA
Q02086	Q02086	Sp1 C2H2-type zinc-finger protein family	6085	SP2
Q02094	Q02094	Ammonium transporter (TC 2.A.49) family, Rh subfamily	6086	RHAG
Q02108	Q02108	Adenylyl cyclase class-4/guanylyl cyclase family	6087	GUCY1A1
Q02127	Q02127	Dihydroorotate dehydrogenase family, Type 2 subfamily	6088	DHODH
Q02153	Q02153	Adenylyl cyclase class-4/guanylyl cyclase family	6089	GUCY1B1
Q02156	Q02156	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	6090	PRKCE
Q02161	Q02161	Ammonium transporter (TC 2.A.49) family, Rh subfamily	6091	RHD
Q02218	Q02218	Alpha-ketoglutarate dehydrogenase family	6092	OGDH
Q02221	Q02221	Cytochrome c oxidase subunit 6A family	6093	COX6A2
Q02223	Q02223	Not available	6094	TNFRSF17
Q02224	Q02224	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family	6095	CENPE
Q02241	Q02241	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family	6096	KIF23
Q02246	Q02246	Immunoglobulin superfamily, Contactin family	6097	CNTN2
Q02252	Q02252	Aldehyde dehydrogenase family	6098	ALDH6A1
Q02297	Q02297	Neuregulin family	6099	NRG1
Q02318	Q02318	Cytochrome P450 family	6100	CYP27A1
Q02363	Q02363	Not available	6101	ID2
Q02383	Q02383	Semenogelin family	6102	SEMG2
Q02388	Q02388	Not available	6103	COL7A1
Q02410	Q02410	Not available	6104	APBA1
Q02413	Q02413	Not available	6105	DSG1
Q02446	Q02446	Sp1 C2H2-type zinc-finger protein family	6106	SP4
Q02447	Q02447	Sp1 C2H2-type zinc-finger protein family	6107	SP3
Q02487	Q02487	Not available	6108	DSC2
Q02505	Q02505	Not available	6109	MUC3A
Q02535	Q02535	Not available	6110	ID3
Q02539	Q02539	Histone H1/H5 family	6111	H1-1
Q02543	Q02543	Eukaryotic ribosomal protein eL20 family	6112	RPL18A
Q02548	Q02548	Not available	6113	PAX5
Q02556	Q02556	IRF family	6114	IRF8
Q02575	Q02575	Not available	6115	NHLH1
Q02577	Q02577	Not available	6116	NHLH2
Q02641	Q02641	Calcium channel beta subunit family	6117	CACNB1
Q02643	Q02643	G protein-coupled receptor 2 family	6118	GHRHR
Q02742	Q02742	Glycosyltransferase 14 family	6119	GCNT1
Q02747	Q02747	Guanylin family	6120	GUCA2A
Q02750	Q02750	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily	6121	MAP2K1
Q02763	Q02763	Protein kinase superfamily, Tyr protein kinase family, Tie subfamily	6122	TEK
Q02779	Q02779	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	6123	MAP3K10
Q02790	Q02790	Not available	6124	FKBP4
Q02809	Q02809	Not available	6125	PLOD1
Q02817	Q02817	Not available	6126	MUC2
Q02818	Q02818	Nucleobindin family	6127	NUCB1
Q02833	Q02833	Not available	6128	RASSF7
Q02846	Q02846	Adenylyl cyclase class-4/guanylyl cyclase family	6129	GUCY2D
Q02878	Q02878	Eukaryotic ribosomal protein eL6 family	6130	RPL6
Q02880	Q02880	Type II topoisomerase family	6131	TOP2B
Q02928	Q02928	Cytochrome P450 family	6132	CYP4A11
Q02930	Q02930	BZIP family	6133	CREB5
Q02930-3	Q02930	BZIP family	6134	CREB5
Q02952	Q02952	Not available	6135	AKAP12
Q02962	Q02962	Not available	6136	PAX2
Q02978	Q02978	Mitochondrial carrier (TC 2.A.29) family	6137	SLC25A11
Q02985	Q02985	Not available	6138	CFHR3
Q03001	Q03001	Not available	6139	DST
Q03013	Q03013	GST superfamily, Mu family	6140	GSTM4
Q03014	Q03014	Not available	6141	HHEX
Q03052	Q03052	POU transcription factor family, Class-3 subfamily	6142	POU3F1
Q03060	Q03060	BZIP family	6143	CREM
Q03060-1	Q03060	BZIP family	6144	CREM
Q03060-10	Q03060	BZIP family	6145	CREM
Q03060-11	Q03060	BZIP family	6146	CREM
Q03060-12	Q03060	BZIP family	6147	CREM
Q03060-13	Q03060	BZIP family	6148	CREM
Q03060-14	Q03060	BZIP family	6149	CREM
Q03060-15	Q03060	BZIP family	6150	CREM
Q03060-16	Q03060	BZIP family	6151	CREM
Q03060-17	Q03060	BZIP family	6152	CREM
Q03060-19	Q03060	BZIP family	6153	CREM
Q03060-2	Q03060	BZIP family	6154	CREM
Q03060-20	Q03060	BZIP family	6155	CREM
Q03060-21	Q03060	BZIP family	6156	CREM
Q03060-22	Q03060	BZIP family	6157	CREM
Q03060-23	Q03060	BZIP family	6158	CREM
Q03060-24	Q03060	BZIP family	6159	CREM
Q03060-25	Q03060	BZIP family	6160	CREM
Q03060-26	Q03060	BZIP family	6161	CREM
Q03060-27	Q03060	BZIP family	6162	CREM
Q03060-28	Q03060	BZIP family	6163	CREM
Q03060-29	Q03060	BZIP family	6164	CREM
Q03060-30	Q03060	BZIP family	6165	CREM
Q03060-31	Q03060	BZIP family	6166	CREM
Q03060-32	Q03060	BZIP family	6167	CREM
Q03060-6	Q03060	BZIP family	6168	CREM
Q03060-7	Q03060	BZIP family	6169	CREM
Q03060-8	Q03060	BZIP family	6170	CREM
Q03060-9	Q03060	BZIP family	6171	CREM
Q03111	Q03111	Not available	6172	MLLT1
Q03112	Q03112	Not available	6173	MECOM
Q03113	Q03113	G-alpha family, G(12) subfamily	6174	GNA12
Q03135	Q03135	Caveolin family	6175	CAV1
Q03154	Q03154	Peptidase M20A family	6176	ACY1
Q03164	Q03164	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, TRX/MLL subfamily	6177	KMT2A
Q03167	Q03167	Not available	6178	TGFBR3
Q03181	Q03181	Nuclear hormone receptor family, NR1 subfamily	6179	PPARD
Q03188	Q03188	CENP-C/MIF2 family	6180	CENPC
Q03252	Q03252	Intermediate filament family	6181	LMNB2
Q03393	Q03393	PTPS family	6182	PTS
Q03395	Q03395	PRPH2/ROM1 family	6183	ROM1
Q03403	Q03403	Not available	6184	TFF2
Q03405	Q03405	Not available	6185	PLAUR
Q03426	Q03426	GHMP kinase family, Mevalonate kinase subfamily	6186	MVK
Q03431	Q03431	G protein-coupled receptor 2 family	6187	PTH1R
Q03468	Q03468	SNF2/RAD54 helicase family	6188	ERCC6
Q03518	Q03518	ABC transporter superfamily, ABCB family, MHC peptide exporter (TC 3.A.1.209) subfamily	6189	TAP1
Q03519	Q03519	ABC transporter superfamily, ABCB family, MHC peptide exporter (TC 3.A.1.209) subfamily	6190	TAP2
Q03591	Q03591	Not available	6191	CFHR1
Q03692	Q03692	Not available	6192	COL10A1
Q03721	Q03721	Potassium channel family, C (Shaw) (TC 1.A.1.2) subfamily, Kv3.4/KCNC4 sub-subfamily	6193	KCNC4
Q03923	Q03923	Krueppel C2H2-type zinc-finger protein family	6194	ZNF85
Q03933	Q03933	HSF family	6195	HSF2
Q03989	Q03989	Not available	6196	ARID5A
Q04118	Q04118	Not available	6197	PRB3
Q04206	Q04206	Not available	6198	RELA
Q04323	Q04323	Not available	6199	UBXN1
Q04446	Q04446	Glycosyl hydrolase 13 family, GlgB subfamily	6200	GBE1
Q04609	Q04609	Peptidase M28 family, M28B subfamily	6201	FOLH1
Q04637	Q04637	Eukaryotic initiation factor 4G family	6202	EIF4G1
Q04637-9	Q04637	Eukaryotic initiation factor 4G family	6203	EIF4G1
Q04656	Q04656	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IB subfamily	6204	ATP7A
Q04671	Q04671	CitM (TC 2.A.11) transporter family	6205	OCA2
Q04695	Q04695	Intermediate filament family	6206	KRT17
Q04721	Q04721	NOTCH family	6207	NOTCH2
Q04724	Q04724	WD repeat Groucho/TLE family	6208	TLE1
Q04725	Q04725	WD repeat Groucho/TLE family	6209	TLE2
Q04726	Q04726	WD repeat Groucho/TLE family	6210	TLE3
Q04727	Q04727	WD repeat Groucho/TLE family	6211	TLE4
Q04741	Q04741	EMX homeobox family	6212	EMX1
Q04743	Q04743	EMX homeobox family	6213	EMX2
Q04756	Q04756	Peptidase S1 family	6214	HGFAC
Q04759	Q04759	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	6215	PRKCQ
Q04760	Q04760	Glyoxalase I family	6216	GLO1
Q04771	Q04771	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	6217	ACVR1
Q04828	Q04828	Aldo/keto reductase family	6218	AKR1C1
Q04837	Q04837	Not available	6219	SSBP1
Q04844	Q04844	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Epsilon/CHRNE sub-subfamily	6220	CHRNE
Q04864	Q04864	Not available	6221	REL
Q04864-2	Q04864	Not available	6222	REL
Q04900	Q04900	CD164 family	6223	CD164
Q04912	Q04912	Protein kinase superfamily, Tyr protein kinase family	6224	MST1R
Q04917	Q04917	14-3-3 family	6225	YWHAH
Q04941	Q04941	Not available	6226	PLP2
Q05066	Q05066	SRY family	6227	SRY
Q05084	Q05084	Not available	6228	ICA1
Q05086	Q05086	Not available	6229	UBE3A
Q05193	Q05193	TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family	6230	DNM1
Q05195	Q05195	Not available	6231	MXD1
Q05209	Q05209	Protein-tyrosine phosphatase family, Non-receptor class 4 subfamily	6232	PTPN12
Q05215	Q05215	EGR C2H2-type zinc-finger protein family	6233	EGR4
Q05315	Q05315	Not available	6234	CLC
Q05329	Q05329	Group II decarboxylase family	6235	GAD2
Q05397	Q05397	Protein kinase superfamily, Tyr protein kinase family, FAK subfamily	6236	PTK2
Q05469	Q05469	'GDXG' lipolytic enzyme family	6237	LIPE
Q05481	Q05481	Krueppel C2H2-type zinc-finger protein family	6238	ZNF91
Q05513	Q05513	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	6239	PRKCZ
Q05516	Q05516	Krueppel C2H2-type zinc-finger protein family	6240	ZBTB16
Q05519	Q05519	Splicing factor SR family	6241	SRSF11
Q05586	Q05586	Glutamate-gated ion channel (TC 1.A.10.1) family, NR1/GRIN1 subfamily	6242	GRIN1
Q05586-2	Q05586	Glutamate-gated ion channel (TC 1.A.10.1) family, NR1/GRIN1 subfamily	6243	GRIN1
Q05639	Q05639	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-Tu/EF-1A subfamily	6244	EEF1A2
Q05655	Q05655	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	6245	PRKCD
Q05682	Q05682	Caldesmon family	6246	CALD1
Q05707	Q05707	Fibril-associated collagens with interrupted helices (FACIT) family	6247	COL14A1
Q05823	Q05823	Protein kinase superfamily	6248	RNASEL
Q05901	Q05901	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Beta-3/CHRNB3 sub-subfamily	6249	CHRNB3
Q05923	Q05923	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	6250	DUSP2
Q05925	Q05925	Engrailed homeobox family	6251	EN1
Q05932	Q05932	Folylpolyglutamate synthase family	6252	FPGS
Q05940	Q05940	Major facilitator superfamily, Vesicular transporter family	6253	SLC18A2
Q05996	Q05996	ZP domain family, ZPA subfamily	6254	ZP2
Q05BQ5	Q05BQ5	Not available	6256	MBTD1
Q05D32	Q05D32	CTDSPL2 family	6257	CTDSPL2
Q05D60	Q05D60	CEP63 family	6258	DEUP1
Q06033	Q06033	ITIH family	6259	ITIH3
Q06055	Q06055	ATPase C chain family	6260	ATP5MC2
Q06124	Q06124	Protein-tyrosine phosphatase family, Non-receptor class 2 subfamily	6261	PTPN11
Q06136	Q06136	Short-chain dehydrogenases/reductases (SDR) family	6262	KDSR
Q06141	Q06141	Not available	6263	REG3A
Q06187	Q06187	Protein kinase superfamily, Tyr protein kinase family, TEC subfamily	6264	BTK
Q06190	Q06190	Not available	6265	PPP2R3A
Q06203	Q06203	Purine/pyrimidine phosphoribosyltransferase family	6266	PPAT
Q06210	Q06210	Not available	6267	GFPT1
Q06265	Q06265	RNase PH family	6268	EXOSC9
Q06278	Q06278	Xanthine dehydrogenase family	6269	AOX1
Q06323	Q06323	PA28 family	6270	PSME1
Q06330	Q06330	Su(H) family	6271	RBPJ
Q06413	Q06413	MEF2 family	6272	MEF2C
Q06416	Q06416	POU transcription factor family, Class-5 subfamily	6273	POU5F1B
Q06418	Q06418	Protein kinase superfamily, Tyr protein kinase family, AXL/UFO subfamily	6274	TYRO3
Q06432	Q06432	PMP-22/EMP/MP20 family, CACNG subfamily	6275	CACNG1
Q06455	Q06455	CBFA2T family	6276	RUNX1T1
Q06455-2	Q06455	CBFA2T family	6277	RUNX1T1
Q06455-4	Q06455	CBFA2T family	6278	RUNX1T1
Q06481	Q06481	APP family	6279	APLP2
Q06481-5	Q06481	APP family	6280	APLP2
Q06495	Q06495	SLC34A transporter family	6281	SLC34A1
Q06520	Q06520	Sulfotransferase 1 family	6282	SULT2A1
Q06546	Q06546	ETS family	6283	GABPA
Q06547	Q06547	Not available	6284	GABPB1
Q06547-2	Q06547	Not available	6285	GABPB1
Q06547-3	Q06547	Not available	6286	GABPB1
Q06587	Q06587	Not available	6287	RING1
Q06609	Q06609	RecA family, RAD51 subfamily	6288	RAD51
Q06643	Q06643	Tumor necrosis factor family	6289	LTB
Q06710	Q06710	Not available	6290	PAX8
Q06730	Q06730	Krueppel C2H2-type zinc-finger protein family	6291	ZNF33A
Q06787	Q06787	FMR1 family	6292	FMR1
Q06787-7	Q06787	FMR1 family	6293	FMR1
Q06828	Q06828	Small leucine-rich proteoglycan (SLRP) family, SLRP class II subfamily	6294	FMOD
Q06830	Q06830	Peroxiredoxin family, AhpC/Prx1 subfamily	6295	PRDX1
Q06889	Q06889	EGR C2H2-type zinc-finger protein family	6296	EGR3
Q06945	Q06945	Not available	6297	SOX4
Q07001	Q07001	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Delta/CHRND sub-subfamily	6298	CHRND
Q07002	Q07002	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	6299	CDK18
Q07011	Q07011	Not available	6300	TNFRSF9
Q07020	Q07020	Eukaryotic ribosomal protein eL18 family	6301	RPL18
Q07021	Q07021	MAM33 family	6302	C1QBP
Q07065	Q07065	Not available	6303	CKAP4
Q07075	Q07075	Peptidase M1 family	6304	ENPEP
Q07092	Q07092	Fibril-associated collagens with interrupted helices (FACIT) family	6305	COL16A1
Q07108	Q07108	Not available	6306	CD69
Q07157	Q07157	MAGUK family	6307	TJP1
Q07283	Q07283	S100-fused protein family	6308	TCHH
Q07325	Q07325	Intercrine alpha (chemokine CxC) family	6309	CXCL9
Q07326	Q07326	PIGF family	6310	PIGF
Q07343	Q07343	Cyclic nucleotide phosphodiesterase family, PDE4 subfamily	6311	PDE4B
Q07352	Q07352	Not available	6312	ZFP36L1
Q07444	Q07444	Not available	6313	KLRC3
Q07617	Q07617	Not available	6314	SPAG1
Q07627	Q07627	KRTAP type 1 family	6315	KRTAP1-1
Q07654	Q07654	Not available	6316	TFF3
Q07666	Q07666	KHDRBS family	6317	KHDRBS1
Q07687	Q07687	Distal-less homeobox family	6318	DLX2
Q07699	Q07699	Sodium channel auxiliary subunit SCN1B (TC 8.A.17) family	6319	SCN1B
Q07812	Q07812	Bcl-2 family	6320	BAX
Q07817	Q07817	Bcl-2 family	6321	BCL2L1
Q07820	Q07820	Bcl-2 family	6322	MCL1
Q07837	Q07837	Not available	6323	SLC3A1
Q07864	Q07864	DNA polymerase type-B family	6324	POLE
Q07866	Q07866	Kinesin light chain family	6325	KLC1
Q07869	Q07869	Nuclear hormone receptor family, NR1 subfamily	6326	PPARA
Q07889	Q07889	Not available	6327	SOS1
Q07890	Q07890	Not available	6328	SOS2
Q07912	Q07912	Protein kinase superfamily, Tyr protein kinase family	6329	TNK2
Q07954	Q07954	LDLR family	6330	LRP1
Q07955	Q07955	Splicing factor SR family	6331	SRSF1
Q07960	Q07960	Not available	6332	ARHGAP1
Q07973	Q07973	Cytochrome P450 family	6333	CYP24A1
Q08043	Q08043	Alpha-actinin family	6334	ACTN3
Q08050	Q08050	Not available	6335	FOXM1
Q08116	Q08116	Not available	6336	RGS1
Q08117	Q08117	WD repeat Groucho/TLE family	6337	TLE5
Q08117-2	Q08117	WD repeat Groucho/TLE family	6338	TLE5
Q08170	Q08170	Splicing factor SR family	6339	SRSF4
Q08174	Q08174	Not available	6340	PCDH1
Q08188	Q08188	Transglutaminase superfamily, Transglutaminase family	6341	TGM3
Q08209	Q08209	PPP phosphatase family, PP-2B subfamily	6342	PPP3CA
Q08211	Q08211	DEAD box helicase family, DEAH subfamily	6343	DHX9
Q08257	Q08257	Zinc-containing alcohol dehydrogenase family, Quinone oxidoreductase subfamily	6344	CRYZ
Q08289	Q08289	Calcium channel beta subunit family	6345	CACNB2
Q08334	Q08334	Type II cytokine receptor family	6346	IL10RB
Q08345	Q08345	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	6347	DDR1
Q08357	Q08357	Inorganic phosphate transporter (PiT) (TC 2.A.20) family	6348	SLC20A2
Q08378	Q08378	Not available	6349	GOLGA3
Q08379	Q08379	GOLGA2 family	6350	GOLGA2
Q08380	Q08380	Not available	6351	LGALS3BP
Q08397	Q08397	Lysyl oxidase family	6352	LOXL1
Q08426	Q08426	Enoyl-CoA hydratase/isomerase family; 3-hydroxyacyl-CoA dehydrogenase family	6353	EHHADH
Q08431	Q08431	Not available	6354	MFGE8
Q08462	Q08462	Adenylyl cyclase class-4/guanylyl cyclase family	6355	ADCY2
Q08477	Q08477	Cytochrome P450 family	6356	CYP4F3
Q08477-2	Q08477	Cytochrome P450 family	6357	CYP4F3
Q08493	Q08493	Cyclic nucleotide phosphodiesterase family, PDE4 subfamily	6358	PDE4C
Q08495	Q08495	Villin/gelsolin family	6359	DMTN
Q08499	Q08499	Cyclic nucleotide phosphodiesterase family, PDE4 subfamily	6360	PDE4D
Q08554	Q08554	Not available	6361	DSC1
Q08623	Q08623	HAD-like hydrolase superfamily, CbbY/CbbZ/Gph/YieH family	6362	PUDP
Q08629	Q08629	Not available	6363	SPOCK1
Q08648	Q08648	SPAG11 family	6364	SPAG11B
Q08708	Q08708	CD300 family	6365	CD300C
Q08722	Q08722	Not available	6366	CD47
Q08752	Q08752	Cyclophilin-type PPIase family, PPIase D subfamily	6367	PPID
Q08828	Q08828	Adenylyl cyclase class-4/guanylyl cyclase family	6368	ADCY1
Q08830	Q08830	Not available	6369	FGL1
Q08881	Q08881	Protein kinase superfamily, Tyr protein kinase family, TEC subfamily	6370	ITK
Q08945	Q08945	SSRP1 family	6371	SSRP1
Q08999	Q08999	Retinoblastoma protein (RB) family	6372	RBL2
Q08AD1	Q08AD1	CAMSAP1 family	6373	CAMSAP2
Q08AE8	Q08AE8	Spire family	6374	SPIRE1
Q08AG5	Q08AG5	Krueppel C2H2-type zinc-finger protein family	6375	ZNF844
Q08AG7	Q08AG7	MOZART1 family	6376	MZT1
Q08AH1	Q08AH1	ATP-dependent AMP-binding enzyme family	6378	ACSM1
Q08AH3	Q08AH3	ATP-dependent AMP-binding enzyme family	6379	ACSM2A
Q08AM6	Q08AM6	VAC14 family	6381	VAC14
Q08ET2	Q08ET2	Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family	6382	SIGLEC14
Q08J23	Q08J23	Class I-like SAM-binding methyltransferase superfamily, RsmB/NOP family, TRM4 subfamily	6383	NSUN2
Q09013	Q09013	Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily	6384	DMPK
Q09019	Q09019	Not available	6385	DMWD
Q09028	Q09028	WD repeat RBAP46/RBAP48/MSI1 family	6386	RBBP4
Q09161	Q09161	NCBP1 family	6387	NCBP1
Q09327	Q09327	Glycosyltransferase 17 family	6388	MGAT3
Q09328	Q09328	Glycosyltransferase 18 family	6389	MGAT5
Q09428	Q09428	ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily	6390	ABCC8
Q09470	Q09470	Potassium channel family, A (Shaker) (TC 1.A.1.2) subfamily, Kv1.1/KCNA1 sub-subfamily	6391	KCNA1
Q09472	Q09472	Not available	6392	EP300
Q09666	Q09666	Not available	6393	AHNAK
Q09FC8	Q09FC8	Not available	6394	ZNF415
Q0D2H9	Q0D2H9	GOLGA8 family	6395	GOLGA8DP
Q0D2I5	Q0D2I5	Intermediate filament family	6396	IFFO1
Q0D2K0	Q0D2K0	NIPA family	6397	NIPAL4
Q0D2K3	Q0D2K3	Ripply family	6398	RIPPLY1
Q0GE19	Q0GE19	Bile acid:sodium symporter (BASS) (TC 2.A.28) family	6399	SLC10A7
Q0IIM8	Q0IIM8	Not available	6400	TBC1D8B
Q0JRZ9	Q0JRZ9	FCHO family	6401	FCHO2
Q0P5N6	Q0P5N6	Small GTPase superfamily, Arf family	6402	ARL16
Q0PNE2	Q0PNE2	ELP6 family	6403	ELP6
Q0VAK6	Q0VAK6	Tropomodulin family	6404	LMOD3
Q0VAM2	Q0VAM2	Not available	6405	RASGEF1B
Q0VAQ4	Q0VAQ4	SMAGP family	6406	SMAGP
Q0VD83	Q0VD83	Not available	6407	APOBR
Q0VD86	Q0VD86	INCA family	6408	INCA1
Q0VDD7	Q0VDD7	Not available	6410	BRME1
Q0VDD8	Q0VDD8	Dynein heavy chain family	6411	DNAH14
Q0VDF9	Q0VDF9	Heat shock protein 70 family	6412	HSPA14
Q0VF96	Q0VF96	Cingulin family	6413	CGNL1
Q0VG06	Q0VG06	Not available	6414	FAAP100
Q0VG99	Q0VG99	Not available	6415	MESP2
Q0VGL1	Q0VGL1	LAMTOR4 family	6416	LAMTOR4
Q0WX57	Q0WX57	Peptidase C19 family, USP17 subfamily	6418	USP17L24
Q0ZGT2	Q0ZGT2	Not available	6419	NEXN
Q10469	Q10469	Glycosyltransferase 16 (GT16) protein family	6420	MGAT2
Q10471	Q10471	Glycosyltransferase 2 family, GalNAc-T subfamily	6421	GALNT2
Q10472	Q10472	Glycosyltransferase 2 family, GalNAc-T subfamily	6422	GALNT1
Q10567	Q10567	Adaptor complexes large subunit family	6423	AP1B1
Q10567-3	Q10567	Adaptor complexes large subunit family	6424	AP1B1
Q10570	Q10570	CPSF1 family	6425	CPSF1
Q10571	Q10571	Not available	6426	MN1
Q10586	Q10586	BZIP family, PAR subfamily	6427	DBP
Q10587	Q10587	BZIP family, PAR subfamily	6428	TEF
Q10588	Q10588	ADP-ribosyl cyclase family	6429	BST1
Q10589	Q10589	Tetherin family	6430	BST2
Q10713	Q10713	Peptidase M16 family	6431	PMPCA
Q10981	Q10981	Glycosyltransferase 11 family	6432	FUT2
Q11128	Q11128	Glycosyltransferase 10 family	6433	FUT5
Q11130	Q11130	Glycosyltransferase 10 family	6434	FUT7
Q11201	Q11201	Glycosyltransferase 29 family	6435	ST3GAL1
Q11203	Q11203	Glycosyltransferase 29 family	6436	ST3GAL3
Q11203-10	Q11203	Glycosyltransferase 29 family	6437	ST3GAL3
Q11203-11	Q11203	Glycosyltransferase 29 family	6438	ST3GAL3
Q11203-12	Q11203	Glycosyltransferase 29 family	6439	ST3GAL3
Q11203-13	Q11203	Glycosyltransferase 29 family	6440	ST3GAL3
Q11203-14	Q11203	Glycosyltransferase 29 family	6441	ST3GAL3
Q11203-15	Q11203	Glycosyltransferase 29 family	6442	ST3GAL3
Q11203-16	Q11203	Glycosyltransferase 29 family	6443	ST3GAL3
Q11203-17	Q11203	Glycosyltransferase 29 family	6444	ST3GAL3
Q11203-18	Q11203	Glycosyltransferase 29 family	6445	ST3GAL3
Q11203-19	Q11203	Glycosyltransferase 29 family	6446	ST3GAL3
Q11203-2	Q11203	Glycosyltransferase 29 family	6447	ST3GAL3
Q11203-20	Q11203	Glycosyltransferase 29 family	6448	ST3GAL3
Q11203-21	Q11203	Glycosyltransferase 29 family	6449	ST3GAL3
Q11203-22	Q11203	Glycosyltransferase 29 family	6450	ST3GAL3
Q11203-23	Q11203	Glycosyltransferase 29 family	6451	ST3GAL3
Q11203-24	Q11203	Glycosyltransferase 29 family	6452	ST3GAL3
Q11203-25	Q11203	Glycosyltransferase 29 family	6453	ST3GAL3
Q11203-26	Q11203	Glycosyltransferase 29 family	6454	ST3GAL3
Q11203-3	Q11203	Glycosyltransferase 29 family	6455	ST3GAL3
Q11203-4	Q11203	Glycosyltransferase 29 family	6456	ST3GAL3
Q11203-5	Q11203	Glycosyltransferase 29 family	6457	ST3GAL3
Q11203-6	Q11203	Glycosyltransferase 29 family	6458	ST3GAL3
Q11203-7	Q11203	Glycosyltransferase 29 family	6459	ST3GAL3
Q11203-8	Q11203	Glycosyltransferase 29 family	6460	ST3GAL3
Q11203-9	Q11203	Glycosyltransferase 29 family	6461	ST3GAL3
Q11206	Q11206	Glycosyltransferase 29 family	6462	ST3GAL4
Q12756	Q12756	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, Unc-104 subfamily	6463	KIF1A
Q12765	Q12765	Peptidase C69 family, Secernin subfamily	6464	SCRN1
Q12767	Q12767	Not available	6465	TMEM94
Q12768	Q12768	Strumpellin family	6466	WASHC5
Q12769	Q12769	Not available	6467	NUP160
Q12770	Q12770	WD repeat SCAP family	6468	SCAP
Q12772	Q12772	SREBP family	6469	SREBF2
Q12774	Q12774	Not available	6470	ARHGEF5
Q12778	Q12778	Not available	6471	FOXO1
Q12788	Q12788	Not available	6472	TBL3
Q12789	Q12789	TFIIIC subunit 1 family	6473	GTF3C1
Q12791	Q12791	Potassium channel family, Calcium-activated (TC 1.A.1.3) subfamily, KCa1.1/KCNMA1 sub-subfamily	6474	KCNMA1
Q12792	Q12792	Actin-binding proteins ADF family, Twinfilin subfamily	6475	TWF1
Q12794	Q12794	Glycosyl hydrolase 56 family	6476	HYAL1
Q12797	Q12797	Aspartyl/asparaginyl beta-hydroxylase family	6477	ASPH
Q12797-6	Q12797	Aspartyl/asparaginyl beta-hydroxylase family	6478	ASPH
Q12798	Q12798	Centrin family	6479	CETN1
Q12800	Q12800	Grh/CP2 family, CP2 subfamily	6480	TFCP2
Q12802	Q12802	Not available	6481	AKAP13
Q12805	Q12805	Fibulin family	6482	EFEMP1
Q12809	Q12809	Potassium channel family, H (Eag) (TC 1.A.1.20) subfamily, Kv11.1/KCNH2 sub-subfamily	6483	KCNH2
Q12815	Q12815	Not available	6484	TROAP
Q12816	Q12816	Not available	6485	TRO
Q12824	Q12824	SNF5 family	6486	SMARCB1
Q12829	Q12829	Small GTPase superfamily, Rab family	6487	RAB40B
Q12830	Q12830	PBTF family	6488	BPTF
Q12834	Q12834	WD repeat CDC20/Fizzy family	6489	CDC20
Q12836	Q12836	ZP domain family, ZPB subfamily	6490	ZP4
Q12837	Q12837	POU transcription factor family, Class-4 subfamily	6491	POU4F2
Q12840	Q12840	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, Kinesin subfamily	6492	KIF5A
Q12841	Q12841	Not available	6493	FSTL1
Q12846	Q12846	Syntaxin family	6494	STX4
Q12849	Q12849	Not available	6495	GRSF1
Q12851	Q12851	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	6496	MAP4K2
