species,tissue_type,cancer_type,cell_type,cell_name,marker,Symbol,Genename
Human,Abdomen,Normal,Normal cell,Macrophage,MERTK,MERTK,"MER proto-oncogene, tyrosine kinase"
Human,Abdomen,Normal,Normal cell,Macrophage,CD16,FCGR3A,Fc fragment of IgG receptor IIIb
Human,Abdomen,Normal,Normal cell,Macrophage,CD206,MRC1,mannose receptor C-type 1
Human,Abdomen,Normal,Normal cell,Macrophage,CRIg,VSIG4,V-set and immunoglobulin domain containing 4
Human,Abdomen,Normal,Normal cell,Macrophage,CD163,CD163,CD163 molecule
Human,Abdominal fat pad,Normal,Normal cell,Brown adipocyte,FABP4,FABP4,fatty acid binding protein 4
Human,Abdominal fat pad,Normal,Normal cell,Brown adipocyte,PDGFRα ,,
Human,Abdominal fat pad,Normal,Normal cell,Brown adipocyte,UCP1,UCP1,uncoupling protein 1
Mouse,Muscle,Normal,Normal cell,Fibro-adipogenic progenitor cell,Wisp1,Ccn4,cellular communication network factor 4
Mouse,Muscle,Normal,Normal cell,Myoblast,Myod1,Myod1,myogenic differentiation 1
Mouse,Muscle,Normal,Normal cell,Muscle satellite cell,Myf5,Myf5,myogenic factor 5
Mouse,Muscle,Normal,Normal cell,Myocyte,Ckm,Ckm,"creatine kinase, muscle"
Mouse,Muscle,Normal,Normal cell,Myocyte,Acta1,Acta1,"actin alpha 1, skeletal muscle"
Mouse,Muscle,Normal,Normal cell,Lymphatic endothelial cell,Ccl21a,Ccl21a,chemokine (C-C motif) ligand 21A (serine)
Mouse,Muscle,Normal,Normal cell,Fibro-adipogenic progenitor cell,Pdgfra,Pdgfra,"platelet derived growth factor receptor, alpha polypeptide"
Mouse,Muscle,Normal,Normal cell,Fibro-adipogenic progenitor cell,Cxcl5,Cxcl5,chemokine (C-X-C motif) ligand 5
Mouse,Muscle,Normal,Normal cell,Tenocyte,Fmod,Fmod,fibromodulin
Mouse,Muscle,Normal,Normal cell,Fibro-adipogenic progenitor cell,Ccl7,Ccl7,chemokine (C-C motif) ligand 7
Mouse,Muscle,Normal,Normal cell,Muscle satellite cell,Pax7,Pax7,paired box 7
Mouse,Muscle,Normal,Normal cell,Endothelial cell,Cdh5,Cdh5,cadherin 5
Mouse,Muscle,Normal,Normal cell,Lymphatic endothelial cell,Lyve1,Lyve1,lymphatic vessel endothelial hyaluronan receptor 1
Mouse,Muscle,Normal,Normal cell,Fibro-adipogenic progenitor cell,Ly6a,Ly6a,"lymphocyte antigen 6 complex, locus A"
Mouse,Muscle,Normal,Normal cell,Muscle satellite cell,Asb5,Asb5,ankyrin repeat and SOCs box-containing 5
Mouse,Muscle,Normal,Normal cell,Tenocyte,Tnmd,Tnmd,tenomodulin
Mouse,Muscle,Normal,Normal cell,Endothelial cell,Pecam1,Pecam1,platelet/endothelial cell adhesion molecule 1
Mouse,Muscle,Normal,Normal cell,Fibro-adipogenic progenitor cell,Tnc,Tnc,tenascin C
Mouse,Muscle,Normal,Normal cell,Fibro-adipogenic progenitor cell,Dpp4,Dpp4,dipeptidylpeptidase 4
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD19,CD19,CD19 molecule
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Endothelial cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Pericyte,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),CIDEA,CIDEA,cell death inducing DFFA like effector a
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),FABP4,FABP4,fatty acid binding protein 4
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),UCP1,UCP1,uncoupling protein 1
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),ZIC1,ZIC1,Zic family member 1
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),DLK1,DLK1,delta like non-canonical Notch ligand 1
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),BSCL2,BSCL2,"BSCL2 lipid droplet biogenesis associated, seipin"
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),ADIPOR1,ADIPOR1,adiponectin receptor 1
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),DLK2,DLK2,delta like non-canonical Notch ligand 2
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),ADIPOR2,ADIPOR2,adiponectin receptor 2
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),VSTM2A,VSTM2A,V-set and transmembrane domain containing 2A
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),VSTM2B,VSTM2B,V-set and transmembrane domain containing 2B
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD166,ALCAM,activated leukocyte cell adhesion molecule
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD13,ANPEP,"alanyl aminopeptidase, membrane"
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD340,ERBB2,erb-b2 receptor tyrosine kinase 2
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),CD137,TNFRSF9,TNF receptor superfamily member 9
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD49e,ITGA5,integrin subunit alpha 5
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD51,ITGAV,integrin subunit alpha V
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD29,ITGB1,integrin subunit beta 1
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD117,KIT,"KIT proto-oncogene, receptor tyrosine kinase"
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD146,MCAM,melanoma cell adhesion molecule
Human,Adipose tissue,Normal,Normal cell,Endothelial cell,CD146,MCAM,melanoma cell adhesion molecule
Human,Adipose tissue,Normal,Normal cell,Pericyte,CD146,MCAM,melanoma cell adhesion molecule
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD10,MME,matrix metallopeptidase 12
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD56,NCAM1,neural cell adhesion molecule 1
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD271,NGFR,nerve growth factor receptor
Human,Adipose tissue,Normal,Normal cell,Endothelial cell,CD271,NGFR,nerve growth factor receptor
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD271,NGFR,nerve growth factor receptor
Human,Adipose tissue,Normal,Normal cell,Pericyte,CD271,NGFR,nerve growth factor receptor
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD73,NT5E,5'-nucleotidase ecto
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Adipose tissue,Normal,Normal cell,Endothelial cell,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Adipose tissue,Normal,Normal cell,Pericyte,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),PPARgamma,PPARG,peroxisome proliferator activated receptor gamma
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Human,Adipose tissue,Normal,Normal cell,Endothelial cell,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Human,Adipose tissue,Normal,Normal cell,Pericyte,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),GLUT4,SLC2A4,solute carrier family 2 member 4
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD71,TFRC,transferrin receptor
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD90,THY1,Thy-1 cell surface antigen
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD120a,TNFRSF1A,TNF receptor superfamily member 1A
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD106,VCAM1,vascular cell adhesion molecule 1
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),CHC22,CLTCL1,clathrin heavy chain like 1
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),ACRP30,ADIPOQ,"adiponectin, C1Q and collagen domain containing"
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),FATP5,SLC27A5,solute carrier family 27 member 5
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),FATP4,SLC27A4,solute carrier family 27 member 4
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),FATP2,SLC27A2,solute carrier family 27 member 2
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),FATP6,SLC27A6,solute carrier family 27 member 6
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),FATP1,SLC27A1,solute carrier family 27 member 1
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),gACRP30,,
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),Galectin-12,,
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),Leptin,,
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),Perilipin-2,,
Human,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),PGC-1-alpha,,
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD105,,
Human,Adipose tissue,Normal,Normal cell,Endothelial cell,CD105,,
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD105,,
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD140b,,
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD49d,,
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,Ly6A/E,,
Human,Adipose tissue,Normal,Normal cell,Pericyte,CD105,,
Human,Adipose tissue,Normal,Normal cell,Endothelial cell,CD133,PROM1,prominin 1
Human,Adipose tissue,Normal,Normal cell,Endothelial cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Endothelial cell,ABCG2,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
Human,Adipose tissue,Normal,Normal cell,Endothelial cell,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Adipose tissue,Normal,Normal cell,Macrophage,CD14,CD14,NADH:ubiquinone oxidoreductase subunit A2
Human,Adipose tissue,Normal,Normal cell,Macrophage,CD68,CD68,CD68 molecule
Human,Adipose tissue,Normal,Normal cell,Stromal vascular fraction cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Endothelial cell,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stromal cell,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stromal cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stromal cell,CD144,CDH5,cadherin 5
Human,Adipose tissue,Normal,Normal cell,Stem cell,CD29,ITGB1,integrin subunit beta 1
Human,Adipose tissue,Normal,Normal cell,Stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Mouse,Adipose tissue,Normal,Normal cell,Endothelial cell,CD31,,
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,STRO-1,,
Mouse,Adipose tissue,Normal,Normal cell,Macrophage,MAC-1,,
Mouse,Adipose tissue,Normal,Normal cell,Macrophage,F4/80,Adgre1,adhesion G protein-coupled receptor E1
Mouse,White adipose tissue,Normal,Normal cell,Macrophage,CD68,,
Human,White adipose tissue,Normal,Normal cell,Endothelial cell,CD146,MCAM,melanoma cell adhesion molecule
Human,White adipose tissue,Normal,Normal cell,Endothelial cell,ICAM,,
Human,White adipose tissue,Normal,Normal cell,Endothelial cell,VWF,VWF,von Willebrand factor
Human,White adipose tissue,Normal,Normal cell,Endothelial cell,Thrombomodulin,,
Mouse,Adipose tissue,Normal,Normal cell,Preadipocyte,Pref-1,,
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD105,,
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD29,ITGB1,integrin subunit beta 1
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD90,THY1,Thy-1 cell surface antigen
Human,Visceral adipose tissue,Normal,Normal cell,Macrophage,CD68,CD68,CD68 molecule
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD49a,ITGA1,integrin subunit alpha 1
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD90,THY1,Thy-1 cell surface antigen
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD271,NGFR,nerve growth factor receptor
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD105,,
Mouse,Adipose tissue,Normal,Normal cell,Stem cell,CD105,Eng,endoglin
Human,Adipose tissue,Normal,Normal cell,Macrophage,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Human,Subcutaneous adipose tissue,Normal,Normal cell,Monocyte,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Human,Adipose tissue,Normal,Normal cell,Macrophage,CD14,CD14,NADH:ubiquinone oxidoreductase subunit A2
Human,Subcutaneous adipose tissue,Normal,Normal cell,Monocyte,CD14,CD14,NADH:ubiquinone oxidoreductase subunit A2
Human,Adipose tissue,Normal,Normal cell,Macrophage,CD206,MRC1,mannose receptor C-type 1
Human,Subcutaneous adipose tissue,Normal,Normal cell,Macrophage,CD14,CD14,NADH:ubiquinone oxidoreductase subunit A2
Human,Subcutaneous adipose tissue,Normal,Normal cell,Macrophage,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Human,Subcutaneous adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD13,ANPEP,"alanyl aminopeptidase, membrane"
Human,Subcutaneous adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD29,ITGB1,integrin subunit beta 1
Human,Subcutaneous adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Subcutaneous adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Subcutaneous adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Mouse,Adipose tissue,Normal,Normal cell,Mesenchymal stromal cell,CD44,,
Mouse,Adipose tissue,Normal,Normal cell,Mesenchymal stromal cell,CD13,,
Mouse,Adipose tissue,Normal,Normal cell,Mesenchymal stromal cell,CD90,Thy1,"thymus cell antigen 1, theta"
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,STRO-1,,
Human,Adipose tissue,Normal,Normal cell,Dedifferentiation adipocyte,CD106,VCAM1,vascular cell adhesion molecule 1
Human,Adipose tissue,Normal,Normal cell,Dedifferentiation adipocyte,CD29,ITGB1,integrin subunit beta 1
Human,Adipose tissue,Normal,Normal cell,Dedifferentiation adipocyte,HLA-ABC,,
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,HLA-ABC,,
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD106,VCAM1,vascular cell adhesion molecule 1
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD29,ITGB1,integrin subunit beta 1
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Adipose tissue,Normal,Normal cell,Dedifferentiation adipocyte,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Dedifferentiation adipocyte,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Dedifferentiation adipocyte,CD44,CD44,CD44 molecule (Indian blood group)
Human,Subcutaneous adipose tissue,Normal,Normal cell,Mature endothelial cell,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Subcutaneous adipose tissue,Normal,Normal cell,Immature endothelial cell,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Subcutaneous adipose tissue,Normal,Normal cell,Pericyte,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Subcutaneous adipose tissue,Normal,Normal cell,Immature endothelial cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Subcutaneous adipose tissue,Normal,Normal cell,Mature endothelial cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Subcutaneous adipose tissue,Normal,Normal cell,Pericyte,CD146,MCAM,melanoma cell adhesion molecule
Human,Subcutaneous adipose tissue,Normal,Normal cell,Pericyte,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Endothelial cell,CD105,,
Human,Adipose tissue,Normal,Normal cell,Endothelial cell,VWF,VWF,von Willebrand factor
Human,Adipose tissue,Normal,Normal cell,Endothelial cell,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Adipose tissue,Normal,Normal cell,Stem cell,CD90,THY1,Thy-1 cell surface antigen
Human,Adipose tissue,Normal,Normal cell,Stem cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Stem cell,P63,,
Human,Adipose tissue,Normal,Normal cell,Stem cell,ABCG2,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD73,NT5E,5'-nucleotidase ecto
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD9,CD9,CD9 molecule
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD90,THY1,Thy-1 cell surface antigen
Mouse,White adipose tissue,Normal,Normal cell,Macrophage,CD11b,,
Mouse,White adipose tissue,Normal,Normal cell,Monocyte,CD11b,,
Mouse,White adipose tissue,Normal,Normal cell,Macrophage,CD68,,
Mouse,White adipose tissue,Normal,Normal cell,Monocyte,F4/80,Adgre1,adhesion G protein-coupled receptor E1
Mouse,White adipose tissue,Normal,Normal cell,Macrophage,F4/80,Adgre1,adhesion G protein-coupled receptor E1
Mouse,White adipose tissue,Normal,Normal cell,Monocyte,CD68,,
Human,Adipose tissue,Normal,Normal cell,Endothelial progenitor cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Abdominal adipose tissue,Normal,Normal cell,Adipose-derived stromal cell,DLK1,DLK1,delta like non-canonical Notch ligand 1
Human,Abdominal adipose tissue,Normal,Normal cell,Adipose progenitor cell,DLK1,DLK1,delta like non-canonical Notch ligand 1
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD105,,
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD73,NT5E,5'-nucleotidase ecto
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD90,THY1,Thy-1 cell surface antigen
Human,Adipose tissue,Normal,Normal cell,Stem cell,CD73,NT5E,5'-nucleotidase ecto
Human,Adipose tissue,Normal,Normal cell,Stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Adipose tissue,Normal,Normal cell,Stem cell,CD90,THY1,Thy-1 cell surface antigen
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD90,THY1,Thy-1 cell surface antigen
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD29,ITGB1,integrin subunit beta 1
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD105,,
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD73,NT5E,5'-nucleotidase ecto
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Abdominal adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD105,,
Human,Abdominal adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD14,CD14,NADH:ubiquinone oxidoreductase subunit A2
Human,Abdominal adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Abdominal adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD90,THY1,Thy-1 cell surface antigen
Human,Abdominal adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD90,THY1,Thy-1 cell surface antigen
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD105,,
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Mouse,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,Sca-1,Ly6a,"lymphocyte antigen 6 complex, locus A"
Mouse,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,Lin,,
Mouse,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD271,,
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD105,,
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD70,CD70,CD70 molecule
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD90,THY1,Thy-1 cell surface antigen
Human,Adipose tissue,Normal,Normal cell,Mesenchymal progenitor cell,CD146,MCAM,melanoma cell adhesion molecule
Human,Fat pad,Normal,Normal cell,Mesenchymal stem cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Fat pad,Normal,Normal cell,Mesenchymal stem cell,STRO-1,,
Human,Fat pad,Normal,Normal cell,Mesenchymal stem cell,CD56,NCAM1,neural cell adhesion molecule 1
Human,Fat pad,Normal,Normal cell,Mesenchymal stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Fat pad,Normal,Normal cell,Mesenchymal stem cell,CD271,NGFR,nerve growth factor receptor
Human,Fat pad,Normal,Normal cell,Mesenchymal stem cell,CD29,ITGB1,integrin subunit beta 1
Human,Fat pad,Normal,Normal cell,Mesenchymal stem cell,CD13,ANPEP,"alanyl aminopeptidase, membrane"
Human,Fat pad,Normal,Normal cell,Mesenchymal stem cell,CD90,THY1,Thy-1 cell surface antigen
Human,Fat pad,Normal,Normal cell,Mesenchymal stem cell,CD105,,
Human,Adipose tissue,Normal,Normal cell,Endoderm progenitor cell,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Adipose tissue,Normal,Normal cell,Endoderm progenitor cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Endoderm progenitor cell,CD133,PROM1,prominin 1
Mouse,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD29,Itgb1,integrin beta 1 (fibronectin receptor beta)
Mouse,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD44,,
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,4.Oct,POU5F1,POU class 5 homeobox 1 pseudogene 3
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stromal cell,KLF4,KLF4,Kruppel like factor 4
Human,Adipose tissue,Normal,Normal cell,Neuron,MAP2,MAP2,methionyl aminopeptidase 2
Human,Adipose tissue,Normal,Normal cell,Neuron,Synapsin,,
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,KLF4,KLF4,Kruppel like factor 4
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,c-Myc,MYC,"MYC proto-oncogene, bHLH transcription factor"
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stromal cell,CD29,ITGB1,integrin subunit beta 1
Human,Adipose tissue,Normal,Normal cell,Neuron,NeuN,,
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stromal cell,4.Oct,POU5F1,POU class 5 homeobox 1 pseudogene 3
Human,Adipose tissue,Normal,Normal cell,Neuron,Tuj1,,
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD29,ITGB1,integrin subunit beta 1
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stromal cell,NANOG,NANOG,Nanog homeobox
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stromal cell,c-Myc,MYC,"MYC proto-oncogene, bHLH transcription factor"
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stromal cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD105,,
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,NANOG,NANOG,Nanog homeobox
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stromal cell,SOX2,SOX2,SRY-box transcription factor 2
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stem cell,SOX2,SOX2,SRY-box transcription factor 2
Human,Adipose tissue,Normal,Normal cell,Adipose-derived stromal cell,CD105,,
Human,Adipose tissue,Normal,Normal cell,Adipose multilineage-differentiating stress-enduring cell,CD105,,
Human,Adipose tissue,Normal,Normal cell,Adipose multilineage-differentiating stress-enduring cell,SSEA-3,,
Human,Adipose tissue,Normal,Normal cell,Adipose multilineage-differentiating stress-enduring cell,CD90,THY1,Thy-1 cell surface antigen
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD105,,
Human,Adipose tissue,Normal,Normal cell,Mesenchymal stem cell,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Mouse,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),Cidea,Cidea,"cell death-inducing DNA fragmentation factor, alpha subunit-like effector A"
Mouse,Adipose tissue,Normal,Normal cell,Fat cell (adipocyte),Ucp1,Ucp1,"uncoupling protein 1 (mitochondrial, proton carrier)"
Human,Visceral adipose tissue,Normal,Normal cell,Adipose-derived stromal cell,CD142,F3,contactin 1
